SampleID	PrimerPairID	BarcodeID	ProjectID	MiSeqRun
Abies_lasiocarpa_14029	trnLF	Hotel358	trnL_cf	141219
Abies_lasiocarpa_14029	ITS	Foxtrot271	ITS	141219
Achillea_millefolium_var_alpicola_14136	trnLF	Hotel383	trnL_cf	141219
Anemone_drummondii_var_drummondii_13562	ITS	Echo223	ITS	141219
Anemone_drummondii_var_drummondii_13562	trnLF	Golf311	trnL_cf	141219
Antennaria_alpina_14019	ITS	Foxtrot266	ITS	141219
Antennaria_alpina_14019	trnLF	Hotel353	trnL_cf	141219
Antennaria_lanata_14016	trnLF	Hotel351	trnL_cf	141219
Antennaria_lanata_14016	ITS	Foxtrot257	ITS	141219
Antennaria_microphylla_14004	trnLF	Hotel338	trnL_cf	141219
Antennaria_microphylla_14004	ITS	Foxtrot243	ITS	141219
Antennaria_umbrinella_13540	ITS	Echo196	ITS	141219
Antennaria_umbrinella_13540	trnLF	Golf292	trnL_cf	141219
Arabis_cf_lemonii_13546	ITS	Echo199	ITS	141219
Arabis_cf_lemonii_13546	trnLF	Golf295	trnL_cf	141219
Arabis_microphylla_14011	ITS	Foxtrot254	ITS	141219
Arabis_microphylla_14011	trnLF	Hotel349	trnL_cf	141219
Arnica_latifolia_var_gracilis_13577	trnLF	Golf326	trnL_cf	141219
Arnica_latifolia_var_gracilis_13577	ITS	Echo231	ITS	141219
Arnica_latifolia_var_gracilis_14128	trnLF	Hotel379	trnL_cf	141219
Arnica_latifolia_var_gracilis_14128	ITS	Foxtrot285	ITS	141219
Bupleurum_americanum_13560	ITS	Echo222	ITS	141219
Bupleurum_americanum_13560	trnLF	Golf310	trnL_cf	141219
Carex_straminiformis_13548	trnLF	Golf296	trnL_cf	141219
Carex_straminiformis_13548	ITS	Echo200	ITS	141219
Carex_nardina_13549	ITS	Echo209	ITS	141219
Carex_nardina_13549	trnLF	Golf304	trnL_cf	141219
Carex_straminiformis_13563	trnLF	Golf319	trnL_cf	141219
Carex_straminiformis_13563	ITS	Echo216	ITS	141219
Carex_cf_scopulorum_14018	trnLF	Hotel352	trnL_cf	141219
Carex_cf_scopulorum_14018	ITS	Foxtrot258	ITS	141219
Carex_nardina_14026	ITS	Foxtrot262	ITS	141219
Carex_nardina_14026	trnLF	Hotel364	trnL_cf	141219
Cassiope_mertensiana_var_gracilis_14022	trnLF	Hotel362	trnL_cf	141219
Cassiope_mertensiana_var_gracilis_14022	ITS	Foxtrot260	ITS	141219
Castelleja_applegatei_var_viscida_13556	ITS	Echo220	ITS	141219
Castelleja_applegatei_var_viscida_13556	trnLF	Golf308	trnL_cf	141219
Castelleja_applegatei_var_viscida_13557	trnLF	Golf316	trnL_cf	141219
Castelleja_applegatei_var_viscida_13557	ITS	Echo213	ITS	141219
Castelleja_applegatei_var_viscida_13558	trnLF	Golf309	trnL_cf	141219
Castelleja_applegatei_var_viscida_13558	ITS	Echo221	ITS	141219
Chaenactis_alpina_13553	trnLF	Golf314	trnL_cf	141219
Chaenactis_alpina_13553	ITS	Echo211	ITS	141219
