SampleID	PrimerPairID	BarcodeID	ProjectID	MiSeqRun
Antennaria_corymbosa_14418	rbcL_5	Hotel363	rbcL	150807
Antennaria_corymbosa_14418	ITS	Bravo82	ITS	150807
Antennaria_corymbosa_14418	trnT	Delta171	trn_ab	150807
Antennaria_corymbosa_14418	trnLF	Delta168	trn_cf	150807
Antennaria_lanata_14016	rbcL_5	Lima541	rbcL	150807
Antennaria_lanata_14016	trnT	Hotel349	trn_ab	150807
Antennaria_lanata_14312	trnT	Bravo94	trn_ab	150807
Antennaria_lanata_14312	rbcL_5	Juliett478	rbcL	150807
Antennaria_lanata_14312	trnLF	Charlie99	trn_cf	150807
Antennaria_lanata_14312	ITS	Alpha10	ITS	150807
Antennaria_microphylla_14004	rbcL_5	Kilo520	rbcL	150807
Antennaria_microphylla_14004	trnT	Golf328	trn_ab	150807
Antennaria_microphylla_14348	trnT	Charlie129	trn_ab	150807
Antennaria_microphylla_14348	rbcL_5	Golf321	rbcL	150807
Antennaria_microphylla_14348	ITS	Alpha39	ITS	150807
Antennaria_microphylla_14348	trnLF	Charlie133	trn_cf	150807
Antennaria_rosea_14273	rbcL_5	Juliett435	rbcL	150807
Antennaria_rosea_14273	trnT	Bravo51	trn_ab	150807
Antennaria_rosea_14273	trnLF	Bravo55	trn_cf	150807
Antennaria_rosea_14273	ITS	Juliett446	ITS	150807
Antennaria_umbrinella_13540	rbcL_5	Kilo484	rbcL	150807
Antennaria_umbrinella_13540	trnT	Golf292	trn_ab	150807
Antennaria_umbrinella_14223	trnLF	Alpha13	trn_cf	150807
Antennaria_umbrinella_14223	trnT	Alpha11	trn_ab	150807
Antennaria_umbrinella_14223	ITS	India391	ITS	150807
Antennaria_umbrinella_14223	rbcL_5	India395	rbcL	150807
Antennaria_umbrinella_14446	ITS	Echo208	ITS	150807
Antennaria_umbrinella_14446	trnLF	Echo206	trn_cf	150807
Antennaria_umbrinella_14446	trnT	Echo194	trn_ab	150807
Antennaria_umbrinella_14446	rbcL_5	Echo194	rbcL	150807
Antennaria_umbrinella_14460	trnT	Echo209	trn_ab	150807
Antennaria_umbrinella_14460	trnLF	Echo221	trn_cf	150807
Antennaria_umbrinella_14460	rbcL_5	Echo209	rbcL	150807
Antennaria_umbrinella_14460	ITS	Echo223	ITS	150807
Antennaria_umbrinella_14601	rbcL_5	Foxtrot253	rbcL	150807
Antennaria_umbrinella_14601	ITS	Foxtrot268	ITS	150807
Antennaria_umbrinella_14601	trnLF	Foxtrot266	trn_cf	150807
Antennaria_umbrinella_14601	trnT	Foxtrot253	trn_ab	150807
Aquilegia_flavescens_14428	trnT	Delta176	trn_ab	150807
Aquilegia_flavescens_14428	rbcL_5	Hotel368	rbcL	150807
Aquilegia_flavescens_14428	trnLF	Delta181	trn_cf	150807
Aquilegia_flavescens_14428	ITS	Bravo87	ITS	150807
Arabis_cf_lemmonii_14266	trnT	Alpha40	trn_ab	150807
Arabis_cf_lemmonii_14266	ITS	Juliett443	ITS	150807
Arabis_cf_lemmonii_14266	trnLF	Bravo59	trn_cf	150807
Arabis_cf_lemmonii_14266	rbcL_5	India424	rbcL	150807
Arabis_cf_lemmonii_14345	rbcL_5	Golf319	rbcL	150807
Arabis_cf_lemmonii_14345	trnT	Charlie127	trn_ab	150807
Arabis_cf_lemmonii_14345	ITS	Alpha45	ITS	150807
Arabis_cf_lemmonii_14345	trnLF	Charlie139	trn_cf	150807
Arabis_cf_lemonii_13546	trnT	Golf295	trn_ab	150807
Arabis_cf_lemonii_13546	rbcL_5	Kilo487	rbcL	150807
Arabis_cf_lemonii_14630	trnLF	Kilo489	trn_cf	150807
Arabis_cf_lemonii_14630	trnT	Foxtrot276	trn_ab	150807
Arabis_cf_lemonii_14630	rbcL_5	Foxtrot276	rbcL	150807
Arabis_cf_lemonii_14668	trnT	India415	trn_ab	150807
Arabis_cf_lemonii_14668	trnLF	Kilo524	trn_cf	150807
Arabis_cf_lemonii_14668	rbcL_5	Alpha31	rbcL	150807
Arabis_microphylla_14011	trnT	Hotel347	trn_ab	150807
Arabis_microphylla_14011	rbcL_5	Lima539	rbcL	150807
Arabis_microphylla_14306	rbcL_5	Juliett475	rbcL	150807
Arabis_microphylla_14306	ITS	Juliett471	ITS	150807
Arabis_microphylla_14306	trnLF	Bravo95	trn_cf	150807
Arabis_microphylla_14306	trnT	Bravo91	trn_ab	150807
Arabis_cf_lemmonii_14454	trnT	Echo198	trn_ab	150807
Arabis_cf_lemmonii_14454	ITS	Echo220	ITS	150807
Arabis_cf_lemmonii_14454	rbcL_5	Echo198	rbcL	150807
Arabis_cf_lemmonii_14454	trnLF	Echo218	trn_cf	150807
Arabis_cf_lemmonii_14683	trnT	India423	trn_ab	150807
Arabis_cf_lemmonii_14683	rbcL_5	Alpha39	rbcL	150807
Arabis_cf_lemmonii_14683	trnLF	Lima532	trn_cf	150807
Arnica_chamissonis_14416	ITS	Bravo81	ITS	150807
Arnica_chamissonis_14416	rbcL_5	Hotel362	rbcL	150807
Arnica_chamissonis_14416	trnT	Delta170	trn_ab	150807
Arnica_chamissonis_14416	trnLF	Delta167	trn_cf	150807
Arnica_chamissonis_14582	rbcL_5	Echo228	rbcL	150807
Arnica_chamissonis_14582	trnT	Echo228	trn_ab	150807
Arnica_chamissonis_14582	ITS	Foxtrot243	ITS	150807
Arnica_chamissonis_14582	trnLF	Foxtrot241	trn_cf	150807
