"","Row.names","species","ITS","trnTLF","rbcL","matK","atpB","ndhF","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"39","Castilleja_applegatei","Castilleja_applegatei",NA,NA,NA,"miseq|14644",NA,"miseq|14644",0,0,1,0,0,0,0,0,0,0
"40","Castilleja_cusickii","Castilleja_cusickii","ncbi|129926134","miseq|14238",NA,"miseq|14238","miseq|14238","miseq|14238",1,0,1,0,0,0,1,1,0,0
"41","Castilleja_miniata","Castilleja_miniata","ncbi|129926152","miseq|14289",NA,"miseq|14289","miseq|14289","miseq|14289",1,0,0,0,0,1,1,1,0,0
"42","Castilleja_rhexiifolia","Castilleja_rhexiifolia",NA,"ncbi|225134744",NA,"miseq|14406","miseq|14406","miseq|14406",1,0,0,0,0,0,0,1,0,0
"43","Cerastium_arvense","Cerastium_arvense","ncbi|598699206","ncbi|239837484","ncbi|667668196","ncbi|62870790",NA,"miseq|14575",1,0,0,0,0,1,0,0,0,0
"44","Cerastium_beeringianum","Cerastium_beeringianum","miseq|14628","ncbi|111380067","miseq|14628","ncbi|459927900","miseq|14628","miseq|14451",0,0,0,1,0,1,0,1,0,0
"45","Chaenactis_douglasii_var_alpina","Chaenactis_douglasii","miseq|13553","miseq|13553",NA,"miseq|14297","miseq|14297","miseq|13553",0,1,1,0,0,0,1,1,1,1
"46","Cherleria_obtusiloba","Cherleria_obtusiloba","miseq|13544","ncbi|239837504","miseq|14608","ncbi|240266103","miseq|13544","miseq|13544",1,1,1,1,0,1,1,0,0,1
"47","Chionophila_tweedyi","Chionophila_tweedyi","miseq|14008","miseq|14008","miseq|14008","miseq|14008","miseq|14008","miseq|14008",1,1,0,0,0,0,1,0,0,1
"48","Cirsium_inamoenum_var_inamoenum","Cirsium_inamoenum","ncbi|21636093",NA,NA,"miseq|14288","miseq|14288","miseq|14288",0,0,1,0,0,0,0,0,0,0
"49","Cirsium_scariosum","Cirsium_scariosum",NA,"ncbi|559146864","ncbi|500049589","miseq|14435",NA,"miseq|14435",0,0,0,0,0,0,0,1,0,0
"50","Claytonia_megarhiza","Claytonia_megarhiza","miseq|14001","miseq|14034","miseq|14614",NA,"miseq|14001","miseq|14001",1,1,1,0,0,1,1,1,1,1
"51","Collomia_debilis","Collomia_debilis","miseq|14336",NA,NA,NA,NA,"miseq|14336",0,0,0,1,0,0,0,0,1,0
"52","Cryptogramma_crispa","Cryptogramma_crispa",NA,NA,"ncbi|459653136",NA,"ncbi|149798674",NA,0,0,0,0,1,0,1,1,1,0
"53","Cystopteris_fragilis","Cystopteris_fragilis",NA,NA,"ncbi|373222139",NA,"ncbi|373222274",NA,1,0,1,0,1,1,0,0,0,0
"54","Dasiphora_fruticosa","Dasiphora_fruticosa","ncbi|9392379",NA,"ncbi|290586169","miseq|14415","miseq|14415","miseq|14415",1,0,0,0,0,0,0,1,0,0
"55","Deschampsia_cespitosa","Deschampsia_cespitosa","miseq|14662","ncbi|237626091",NA,"ncbi|133917435","miseq|14407","miseq|14407",1,0,0,1,0,0,0,1,0,0
"56","Deschampsia_cespitosa_ssp_cespitosa","Deschampsia_cespitosa",NA,NA,NA,NA,"miseq|14585","miseq|14585",1,0,0,0,0,1,0,0,0,0
"57","Draba_crassifolia","Draba_crassifolia","miseq|13569","miseq|13569","miseq|13569","miseq|13569","miseq|13569","miseq|13569",0,1,0,0,1,0,0,0,0,0
"58","Draba_densifolia","Draba_densifolia","ncbi|17104494","ncbi|94537846",NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,0
"59","Draba_lonchocarpa","Draba_lonchocarpa","miseq|14610","miseq|14268","miseq|14610","miseq|14455","miseq|14268","miseq|14268",0,0,1,1,0,1,0,1,0,0
"60","Draba_oligosperma","Draba_oligosperma","miseq|14604","ncbi|94537769","miseq|14604","ncbi|459928282",NA,"miseq|14604",0,0,0,1,0,1,0,0,0,0
"61","Draba_oreibata","Draba_oreibata",NA,"miseq|14404","miseq|14335",NA,"miseq|14217","miseq|14217",0,0,0,0,1,0,0,0,1,0
"62","Draba_stenoloba","Draba_stenoloba","ncbi|94538264","ncbi|58978832",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
"63","Drymocallis_glandulosa","Drymocallis_glandulosa","miseq|14405","ncbi|337294392",NA,"miseq|14230","miseq|14255","miseq|14230",0,0,1,0,1,1,1,1,1,0
"64","Drymocallis_lactea","Drymocallis_lactea",NA,NA,"miseq|14572","miseq|14572","miseq|14572","miseq|14572",1,0,0,0,0,1,0,0,0,0
"65","Drymocallis_pseudorupestris_var_pseudorupestris","Drymocallis_pseudorupestris","miseq|14426",NA,NA,"miseq|14426",NA,"miseq|14426",0,0,0,0,0,0,0,1,0,0
"66","Elymus_elymoides","Elymus_elymoides","miseq|14356","miseq|14251","miseq|14251","ncbi|601116327","miseq|14225","miseq|14225",0,0,1,0,1,1,0,1,1,0
"67","Elymus_scribneri","Elymus_scribneri","miseq|14673","miseq|14673","miseq|14673",NA,NA,"miseq|14673",0,0,0,1,0,0,0,1,0,0
"68","Epilobium_alpinum","Epilobium_alpinum","miseq|14123","miseq|14123","miseq|14123","miseq|14252","miseq|14123","miseq|14123",1,0,1,1,1,0,1,1,1,0
"69","Epilobium_obcordatum","Epilobium_obcordatum","miseq|14130","miseq|14130",NA,NA,"miseq|14130","miseq|14130",0,0,0,0,1,0,0,0,0,0
"70","Eremogone_aculeata","Eremogone_aculeata","ncbi|374350708","miseq|14438",NA,"ncbi|374350945","miseq|14438","miseq|14438",1,0,0,1,0,0,0,1,0,0
"71","Eremogone_congesta","Eremogone_congesta","miseq|14589","miseq|14589","miseq|14670","miseq|14589","miseq|14589","miseq|14589",1,0,0,1,0,1,0,1,0,0
"72","Ericameria_discoidea","Ericameria_discoidea","miseq|14626",NA,"miseq|14626","miseq|14274","miseq|14274","miseq|14274",0,0,1,0,0,1,1,0,1,0
