"","Tip.Label.160511","Meadow","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"81","Poa_sp_13566",0,1,0,0,0,0,0,0,0,0
"82","Eriogonum_pyrolaefolium_var_coryphaeum_13567",0,1,0,0,0,0,0,0,0,0
"83","Poa_sp_13568",0,1,0,0,0,0,0,0,0,0
"84","Draba_cf_crassifolia_13569",0,1,0,0,0,0,0,0,0,0
"85","Penstemon_montanus_var_idahoensis_13570",0,1,0,0,0,0,0,0,0,0
"86","Picea_engelmannii_13571",0,1,0,0,0,0,0,0,0,0
"87","Juncus_sp_13572",0,1,0,0,0,0,0,0,0,0
"88","Pinus_albicaulis_13573",0,1,0,0,0,0,0,0,0,0
"89","Sibbaldia_procumbens_13574",0,1,0,0,0,0,0,0,0,0
"90","Hulsea_algida_13575",0,1,0,0,0,0,0,0,0,0
"91","Sedum_lanceolatum_var_lanceolatum_13576",0,1,0,0,0,0,0,0,0,0
"92","Arnica_latifolia_var_gracilis_13577",0,1,0,0,0,0,0,0,0,0
"93","Erigeron_evermannii_13578",0,1,0,0,0,0,0,0,0,0
"94","Chaenactis_alpina_13579",0,1,0,0,0,0,0,0,0,0
"95","Oxyria_digyna_13580",0,1,0,0,0,0,0,0,0,0
"96","Claytonia_megarhiza_var_bellidifolia_14001",0,1,0,0,0,0,0,0,0,0
"97","Ribes_lacustre_14002",0,1,0,0,0,0,0,0,0,0
"98","Juncus_sp_14003",0,1,0,0,0,0,0,0,0,0
"99","Antennaria_microphylla_14004",0,1,0,0,0,0,0,0,0,0
"100","Senecio_fremontii_14005",0,1,0,0,0,0,0,0,0,0
"101","Saxifraga_bronchialis_14006",0,1,0,0,0,0,0,0,0,0
"102","Poa_sp_14007",0,1,0,0,0,0,0,0,0,0
"103","Chionophila_tweedyi_14008",0,1,0,0,0,0,0,0,0,0
"104","Erigeron_compositus_14009",0,1,0,0,0,0,0,0,0,0
"105","Castilleja_miniata_14289",0,0,0,0,0,0,1,0,0,0
"106","Phyllodoce_glanduliflora_14290",0,0,0,0,0,0,1,0,0,0
"107","Phyllodoce_empetriformis_14291",0,0,0,0,0,0,1,0,0,0
"108","Cassiope_mertensiana_var_gracilis_14292",0,0,0,0,0,0,1,0,0,0
"109","Claytonia_megarhiza_14293",0,0,0,0,0,0,1,0,0,0
"110","Chionophila_tweedyi_14294",0,0,0,0,0,0,1,0,0,0
"111","Luzula_sp_14295",0,0,0,0,0,0,1,0,0,0
"112","Castilleja_cusickii_14296",0,0,0,0,0,0,1,0,0,0
"113","Chaenactis_alpina_14297",0,0,0,0,0,0,1,0,0,0
"114","Hieracium_triste_14299",0,0,0,0,0,0,1,0,0,0
"115","Sedum_lanceolatum_var_lanceolatum_14300",0,0,0,0,0,0,1,0,0,0
"116","Epilobium_alpinum_14301",0,0,0,0,0,0,1,0,0,0
"117","Erysimum_asperum_14302",0,0,0,0,0,0,1,0,0,0
"118","Arnica_latifolia_14303",0,0,0,0,0,0,1,0,0,0
"119","Minuartia_obtusiloba_14304",0,0,0,0,0,0,1,0,0,0
"120","Minuartia_nuttallii_14305",0,0,0,0,0,0,1,0,0,0
"121","Arabis_microphylla_14306",0,0,0,0,0,0,1,0,0,0
"122","Erigeron_compositus_14307",0,0,0,0,0,0,1,0,0,0
"123","Tonestus_lyallii_14308",0,0,0,0,0,0,1,0,0,0
"124","Anemone_drummondii_14309",0,0,0,0,0,0,1,0,0,0
"125","Erigeron_grandiflorus_14310",0,0,0,0,0,0,1,0,0,0
"126","Antennaria_alpina_14311",0,0,0,0,0,0,1,0,0,0
"127","Antennaria_lanata_14312",0,0,0,0,0,0,1,0,0,0
"128","Unknown_14313",0,0,0,0,0,0,1,0,0,0
"129","Potentilla_glandulosa_14314",0,0,0,0,0,0,1,0,0,0
"130","Ericameria_discoidea_14315",0,0,0,0,0,0,1,0,0,0
"131","Arnica_latifolia_14316",0,0,0,0,0,0,1,0,0,0
"132","Unknown_14317",0,0,0,0,0,0,1,0,0,0
