"","PHLAWD","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Abies_lasiocarpa",0,0,0,1,0,0,0,1,0
"2","Achillea_millefolium",0,1,0,1,1,0,1,0,0
"3","Androsace_septentrionalis",0,0,1,0,0,0,1,0,0
"4","Anemone_drummondii",1,0,1,0,0,1,0,0,0
"5","Antennaria_alpina",0,1,1,0,0,1,0,0,0
"6","Antennaria_lanata",0,0,0,0,0,1,0,0,0
"7","Antennaria_microphylla",1,0,0,0,0,0,0,1,0
"8","Antennaria_rosea",0,1,0,0,0,0,0,0,0
"9","Antennaria_umbrinella",0,0,0,1,1,0,1,0,1
"10","Aquilegia_flavescens",0,0,0,0,0,0,1,0,0
"11","Arnica_mollis",0,1,0,0,0,0,1,0,0
"12","Artemisia_dracunculus",0,1,0,0,0,0,0,0,0
"13","Aster_alpinus",0,0,0,0,1,0,0,0,0
"14","Astragalus_alpinus",0,0,0,0,0,0,1,0,0
"15","Astragalus_eucosmus",0,0,0,0,1,0,0,0,0
"16","Astragalus_kentrophyta",0,0,1,0,1,0,1,0,0
"17","Bistorta_vivipara",0,0,0,0,0,0,1,0,0
"18","Boechera_lemmonii",0,1,0,0,1,0,0,1,1
"19","Boechera_microphylla",0,0,0,0,0,1,0,0,0
"20","Calyptridium_umbellatum",0,0,0,0,0,0,1,0,0
"21","Cassiope_mertensiana",0,0,0,0,0,1,0,0,0
"22","Castilleja_applegatei",0,1,0,0,0,0,0,0,0
"23","Castilleja_cusickii",0,1,0,0,0,1,0,0,0
"24","Castilleja_miniata",0,0,0,0,0,1,0,0,0
"25","Cerastium_beeringianum",0,0,1,0,1,0,1,0,0
"26","Chionophila_tweedyi",1,0,0,0,0,1,0,0,0
"27","Cirsium_scariosum",0,0,0,0,0,0,1,0,0
"28","Cirsium_subniveum",0,1,0,0,0,0,0,0,0
"29","Claytonia_megarhiza",1,1,0,0,1,1,1,1,0
"30","Collomia_debilis",0,0,1,0,0,0,0,1,0
"31","Crepis_nana",0,0,1,0,0,0,0,0,0
"32","Cryptogramma_crispa",0,0,0,1,0,1,1,1,0
"33","Cystopteris_fragilis",0,1,0,1,0,0,0,0,0
"34","Draba_crassifolia",1,0,0,1,0,0,0,0,0
"35","Draba_densifolia",0,1,0,0,1,0,0,0,0
"36","Draba_lonchocarpa",0,1,1,0,1,0,1,0,0
"37","Draba_oligosperma",0,0,1,0,1,0,0,0,0
"38","Draba_stenoloba",0,0,0,1,0,0,0,0,0
"39","Drymocallis_glandulosa",0,0,0,1,1,0,1,0,0
"40","Epilobium_obcordatum",0,0,0,1,0,0,0,0,0
"41","Eremogone_aculeata",0,0,0,0,0,0,1,0,0
"42","Ericameria_discoidea",0,0,0,0,0,1,0,0,0
"43","Erigeron_compositus",1,1,1,0,1,1,1,1,1
"44","Erigeron_grandiflorus",0,0,0,0,1,1,0,0,0
"45","Erigeron_lonchophyllus",0,0,0,0,1,0,0,0,0
"46","Eriogonum_ovalifolium",1,1,1,1,1,1,1,1,1
"47","Eritrichium_nanum",0,0,1,0,0,0,0,0,1
"48","Erysimum_asperum",0,0,0,0,0,1,0,0,0
"49","Heuchera_parvifolia",0,1,0,1,1,1,1,1,0
"50","Hieracium_triste",0,0,0,0,0,1,0,0,0
"51","Hulsea_algida",1,1,0,1,1,1,1,0,1
"52","Ivesia_gordonii",0,0,0,0,1,0,0,1,0
"53","Juniperus_communis",0,1,0,1,0,1,0,0,0
"54","Lomatium_idahoense",0,1,0,0,0,0,0,0,0
"55","Lupinus_argenteus",0,1,0,0,0,0,0,0,0
"56","Luzula_hitchcockii",0,0,0,0,0,1,0,0,0
"57","Micranthes_ferruginea",0,1,0,0,0,0,0,0,0
"58","Minuartia_obtusiloba",1,1,1,0,1,1,0,0,0
"59","Oxyria_digyna",1,1,1,1,1,1,1,1,0
"60","Oxytropis_deflexa",0,0,1,0,0,0,0,0,0
"61","Oxytropis_parryi",0,0,1,0,0,0,0,0,0
"62","Penstemon_montanus",1,1,0,1,0,0,0,0,0
"63","Phacelia_hastata",0,1,0,0,0,0,1,0,0
"64","Phlox_diffusa",0,0,0,0,1,0,0,0,0
"65","Phyllodoce_empetriformis",0,0,0,0,0,1,0,0,0
"66","Phyllodoce_glanduliflora",0,0,0,0,0,1,0,0,0
"67","Picea_engelmannii",1,0,0,0,0,0,0,0,0
"68","Pinus_albicaulis",1,0,0,1,0,0,0,0,0
"69","Polemonium_viscosum",0,1,1,0,1,0,1,1,1
