"","Tip.Label.160511","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"77","Cistanthe_umbellata_14434",0,0,0,0,0,0,1,0,0
"78","Claytonia_megarhiza_14267",0,1,0,0,0,0,0,0,0
"79","Claytonia_megarhiza_14293",0,0,0,0,0,1,0,0,0
"80","Claytonia_megarhiza_14341",0,0,0,0,0,0,0,1,0
"81","Claytonia_megarhiza_14448",0,0,0,0,0,0,1,0,0
"82","Claytonia_megarhiza_14614",0,0,0,0,1,0,0,0,0
"83","Claytonia_megarhiza_var_bellidifolia_14001",1,0,0,0,0,0,0,0,0
"84","Collomia_debilis_14336",0,0,0,0,0,0,0,1,0
"85","Collomia_debilis_14680",0,0,1,0,0,0,0,0,0
"86","Crepis_nana_14699",0,0,1,0,0,0,0,0,0
"87","Draba_cf_crassifolia_13569",1,0,0,0,0,0,0,0,0
"88","Draba_cf_crassifolia_14218",0,0,0,1,0,0,0,0,0
"89","Draba_cf_densifolia_14241",0,1,0,0,0,0,0,0,0
"90","Draba_cf_densifolia_14605",0,0,0,0,1,0,0,0,0
"91","Draba_cf_lonchocarpa_14268",0,1,0,0,0,0,0,0,0
"92","Draba_lonchocarpa_14455",0,0,0,0,0,0,1,0,0
"93","Draba_lonchocarpa_14610",0,0,0,0,1,0,0,0,0
"94","Draba_lonchocarpa_14629",0,0,0,0,1,0,0,0,0
"95","Draba_lonchocarpa_14690",0,0,1,0,0,0,0,0,0
"96","Draba_lonchocarpa_14694",0,0,1,0,0,0,0,0,0
"97","Draba_oligosperma_14604",0,0,0,0,1,0,0,0,0
"98","Draba_oligosperma_14688",0,0,1,0,0,0,0,0,0
"99","Draba_oligosperma_14703",0,0,1,0,0,0,0,0,0
"100","Draba_oreibata_14217",0,0,0,1,0,0,0,0,0
"101","Draba_oreibata_14335",0,0,0,0,0,0,0,1,0
"102","Epilobium_alpinum_14252",0,1,0,0,0,0,0,0,0
"103","Epilobium_alpinum_14301",0,0,0,0,0,1,0,0,0
"104","Epilobium_alpinum_14339",0,0,0,0,0,0,0,1,0
"105","Epilobium_alpinum_14675",0,0,1,0,0,0,0,0,0
"106","Epilobium_alpinum_var_clavatum_14123",0,0,0,1,0,0,0,0,0
"107","Epilobium_obcordatum_14130",0,0,0,1,0,0,0,0,0
"108","Eremogone_aculeata_14438",0,0,0,0,0,0,1,0,0
"109","Ericameria_discoidea_14315",0,0,0,0,0,1,0,0,0
"110","Erigeron_asperugineus_14247",0,1,0,0,0,0,0,0,0
"111","Erigeron_compositus_13537",0,0,0,0,0,0,0,0,1
"112","Erigeron_compositus_14009",1,0,0,0,0,0,0,0,0
"113","Erigeron_compositus_14248",0,1,0,0,0,0,0,0,0
"114","Erigeron_compositus_14307",0,0,0,0,0,1,0,0,0
"115","Erigeron_compositus_14355",0,0,0,0,0,0,0,1,0
"116","Erigeron_compositus_14452",0,0,0,0,0,0,1,0,0
"117","Erigeron_compositus_14623",0,0,0,0,1,0,0,0,0
"118","Erigeron_compositus_14700",0,0,1,0,0,0,0,0,0
"119","Erigeron_evermannii_13578",1,0,0,0,0,0,0,0,0
"120","Erigeron_evermannii_14224",0,0,0,1,0,0,0,0,0
"121","Erigeron_evermannii_14340",0,0,0,0,0,0,0,1,0
"122","Erigeron_grandiflorus_14310",0,0,0,0,0,1,0,0,0
"123","Erigeron_grandiflorus_14600",0,0,0,0,1,0,0,0,0
"124","Erigeron_lonchophyllus_14612",0,0,0,0,1,0,0,0,0
"125","Eriogonum_crosbyae_13541",0,0,0,0,0,0,0,0,1
"126","Eriogonum_crosbyae_14242",0,1,0,0,0,0,0,0,0
"127","Eriogonum_crosbyae_14350",0,0,0,0,0,0,0,1,0
"128","Eriogonum_crosbyae_14607",0,0,0,0,1,0,0,0,0
"129","Eriogonum_crosbyae_14681",0,0,1,0,0,0,0,0,0
"130","Eriogonum_ovalifolium_14244",0,1,0,0,0,0,0,0,0
"131","Eriogonum_ovalifolium_14280",0,1,0,0,0,0,0,0,0
"132","Eriogonum_ovalifolium_14327",0,0,0,0,0,1,0,0,0
"133","Eriogonum_ovalifolium_14344",0,0,0,0,0,0,0,1,0
"134","Eriogonum_ovalifolium_14349",0,0,0,0,0,0,0,1,0
"135","Eriogonum_ovalifolium_var_depressum_13542",0,0,0,0,0,0,0,0,1
"136","Eriogonum_ovalifolium_var_depressum_13543",0,0,0,0,0,0,0,0,1
"137","Eriogonum_ovalifolium_var_depressum_13564",1,0,0,0,0,0,0,0,0
"138","Eriogonum_ovalifolium_var_depressum_14450",0,0,0,0,0,0,1,0,0
"139","Eriogonum_ovalifolium_var_depressum_14602",0,0,0,0,1,0,0,0,0
"140","Eriogonum_ovalifolium_var_depressum_14702",0,0,1,0,0,0,0,0,0
"141","Eriogonum_ovalifolium_var_purpureum_14133",0,0,0,1,0,0,0,0,0
"142","Eriogonum_pyrolaefolium_var_coryphaeum_13567",1,0,0,0,0,0,0,0,0
"143","Eriogonum_pyrolaefolium_var_coryphaeum_14126",0,0,0,1,0,0,0,0,0
"144","Eritrichium_nanum_14711",0,0,1,0,0,0,0,0,0
"145","Eritrichium_nanum_14712",0,0,1,0,0,0,0,0,0
"146","Eritrichium_nanum_14713",0,0,1,0,0,0,0,0,0
"147","Erysimum_asperum_14302",0,0,0,0,0,1,0,0,0
"148","Festuca_sp_14262",0,1,0,0,0,0,0,0,0
"149","Festuca_sp_14318",0,0,0,0,0,1,0,0,0
"150","Haplopappus_macronema_14274",0,1,0,0,0,0,0,0,0
"151","Haplopappus_macronema_14342",0,0,0,0,0,0,0,1,0
"152","Haplopappus_macronema_14626",0,0,0,0,1,0,0,0,0
"153","Heuchera_parvifolia_var_dissecta_14216",0,0,0,1,0,0,0,0,0
"154","Heuchera_parvifolia_var_dissecta_14250",0,1,0,0,0,0,0,0,0
"155","Heuchera_parvifolia_var_dissecta_14320",0,0,0,0,0,1,0,0,0
"156","Heuchera_parvifolia_var_dissecta_14346",0,0,0,0,0,0,0,1,0
"157","Heuchera_parvifolia_var_dissecta_14449",0,0,0,0,0,0,1,0,0
"158","Heuchera_parvifolia_var_dissecta_14625",0,0,0,0,1,0,0,0,0
"159","Hieracium_triste_14299",0,0,0,0,0,1,0,0,0
"160","Hordium_sp_14225",0,0,0,1,0,0,0,0,0
"161","Hulsea_algida_13545",0,0,0,0,0,0,0,0,1
"162","Hulsea_algida_13575",1,0,0,0,0,0,0,0,0
"163","Hulsea_algida_14222",0,0,0,1,0,0,0,0,0
"164","Hulsea_algida_14276",0,1,0,0,0,0,0,0,0
"165","Hulsea_algida_14321",0,0,0,0,0,1,0,0,0
"166","Hulsea_algida_14459",0,0,0,0,0,0,1,0,0
"167","Hulsea_algida_14627",0,0,0,0,1,0,0,0,0
"168","Ivesia_gordonii_14347",0,0,0,0,0,0,0,1,0
"169","Ivesia_gordonii_14613",0,0,0,0,1,0,0,0,0
"170","Juncus_sp_13547",0,0,0,0,0,0,0,0,1
"171","Juncus_sp_13572",1,0,0,0,0,0,0,0,0
"172","Juncus_sp_14003",1,0,0,0,0,0,0,0,0
"173","Juncus_sp_14263",0,1,0,0,0,0,0,0,0
"174","Juncus_sp_14325",0,0,0,0,0,1,0,0,0
"175","Juncus_sp_14440",0,0,0,0,0,0,1,0,0
"176","Juncus_sp_14637",0,0,0,0,1,0,0,0,0
"177","Juniperus_communis_14233",0,0,0,1,0,0,0,0,0
"178","Juniperus_communis_14285",0,1,0,0,0,0,0,0,0
"179","Juniperus_communis_14330",0,0,0,0,0,1,0,0,0
"180","Lomatium_idahoensis_14246",0,1,0,0,0,0,0,0,0
"181","Lomatium_sp_14134",0,0,0,1,0,0,0,0,0
"182","Lupinus_argenteus_var_depressus_14286",0,1,0,0,0,0,0,0,0
"183","Luzula_sp_14129",0,0,0,1,0,0,0,0,0
"184","Luzula_sp_14228",0,0,0,1,0,0,0,0,0
"185","Luzula_sp_14269",0,1,0,0,0,0,0,0,0
"186","Luzula_sp_14295",0,0,0,0,0,1,0,0,0
"187","Minuartia_cf_obtusiloba_14606",0,0,0,0,1,0,0,0,0
"188","Minuartia_cf_obtusiloba_14686",0,0,1,0,0,0,0,0,0
"189","Minuartia_nuttallii_13544",0,0,0,0,0,0,0,0,1
"190","Minuartia_nuttallii_14305",0,0,0,0,0,1,0,0,0
"191","Minuartia_nuttallii_14697",0,0,1,0,0,0,0,0,0
"192","Minuartia_obtusiloba_13565",1,0,0,0,0,0,0,0,0
"193","Minuartia_obtusiloba_14249",0,1,0,0,0,0,0,0,0
"194","Minuartia_obtusiloba_14304",0,0,0,0,0,1,0,0,0
"195","Minuartia_obtusiloba_14608",0,0,0,0,1,0,0,0,0
"196","Minuartia_obtusiloba_14621",0,0,0,0,1,0,0,0,0
"197","Minuartia_obtusiloba_14705",0,0,1,0,0,0,0,0,0
"198","Oxyria_digyna_13580",1,0,0,0,0,0,0,0,0
"199","Oxyria_digyna_14125",0,0,0,1,0,0,0,0,0
"200","Oxyria_digyna_14257",0,1,0,0,0,0,0,0,0
"201","Oxyria_digyna_14329",0,0,0,0,0,1,0,0,0
"202","Oxyria_digyna_14343",0,0,0,0,0,0,0,1,0
"203","Oxyria_digyna_14445",0,0,0,0,0,0,1,0,0
"204","Oxyria_digyna_14631",0,0,0,0,1,0,0,0,0
"205","Oxytropis_cf_deflexa_14678",0,0,1,0,0,0,0,0,0
"206","Oxytropis_cf_deflexa_14691",0,0,1,0,0,0,0,0,0
"207","Oxytropis_parryi_14695",0,0,1,0,0,0,0,0,0
"208","Penstemon_montanus_var_idahoensis_13570",1,0,0,0,0,0,0,0,0
"209","Penstemon_montanus_var_idahoensis_14234",0,0,0,1,0,0,0,0,0
"210","Penstemon_montanus_var_idahoensis_14279",0,1,0,0,0,0,0,0,0
"211","Phacelia_hastata_14245",0,1,0,0,0,0,0,0,0
"212","Phlox_cf_diffusa_14624",0,0,0,0,1,0,0,0,0
"213","Phlox_cf_pulvinata_14254",0,1,0,0,0,0,0,0,0
"214","Phlox_cf_pulvinata_14461",0,0,0,0,0,0,1,0,0
"215","Phlox_pulvinata_14215",0,0,0,1,0,0,0,0,0
