"","Annotated.Name","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"95","Polemonium_viscosum",0,1,1,0,1,0,1,1,1
"96","Potentilla_brevifolia",0,0,0,0,0,1,0,0,0
"97","Potentilla_glandulosa",0,1,0,0,1,1,1,0,0
"98","Potentilla_glandulosa_var_glandulosa",0,0,0,1,0,0,0,0,0
"99","Potentilla_glaucophylla_var_glaucophylla",0,0,0,0,0,0,1,0,0
"100","Ranunculus_eschscholtzii",0,1,0,0,0,0,0,0,0
"101","Ribes_lacustre",1,1,0,0,1,0,1,0,0
"102","Saxifraga_bronchialis",1,0,0,0,0,0,0,0,0
"103","Saxifraga_oppositifolia",0,0,1,0,0,0,0,0,0
"104","Sedum_debile",0,1,0,0,0,0,0,0,0
"105","Sedum_lanceolatum_var_lanceolatum",1,0,0,1,1,1,1,0,1
"106","Senecio_fremontii",1,1,1,0,0,0,1,1,0
"107","Senecio_werneriifolius",0,1,1,0,0,0,0,1,0
"108","Sibbaldia_procumbens",1,1,0,1,0,1,0,0,0
"109","Smelowskia_calycina",0,0,1,0,1,0,1,1,1
"110","Solidago_multiradiata",0,0,0,1,0,0,0,0,0
"111","Stenotus_acaulis",0,1,1,0,0,0,0,0,0
"112","Stipa_sp",0,0,0,0,0,0,0,0,1
"113","Taraxacum_lyratum",0,0,0,0,1,0,1,0,0
"114","Tonestus_lyallii",0,0,0,0,1,1,0,0,0
