"","Accepted.Name.GenBank","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"89","Festuca_brachyphylla_ssp_brachyphylla",0,1,1,0,0,1,1,0,0,0
"90","Gentiana_calycosa",1,0,0,1,0,1,0,1,0,1
"91","Heuchera_parvifolia",0,0,1,0,1,1,1,1,1,0
"92","Hieracium_triste",1,0,0,0,0,0,1,0,0,1
"93","Hulsea_algida",0,1,1,0,1,1,1,1,1,1
"94","Ivesia_gordonii",1,0,0,1,0,1,0,0,1,1
"95","Juncus_drummondii",1,0,0,0,1,1,1,0,0,1
"96","Juncus_parryi",1,0,1,1,1,0,1,1,1,0
"97","Juniperus_communis",1,0,1,0,1,0,1,0,0,1
"98","Lewisia_pygmaea",1,0,0,0,0,1,0,0,0,1
"99","Lomatium_idahoense",0,0,1,0,1,0,0,0,0,0
"100","Lupinus_argenteus_var_depressus",1,0,1,1,0,0,0,1,0,0
"101","Luzula_piperi",0,1,0,0,0,0,1,0,0,0
"102","Luzula_spicata",0,1,1,0,0,1,0,0,0,1
"103","Micranthes_ferruginea",0,0,1,0,0,0,0,0,0,0
"104","Musineon_divaricatum",0,0,0,0,1,0,0,0,0,0
"105","Oxyria_digyna",0,1,1,1,1,1,1,1,1,0
"106","Oxytropis_deflexa",0,0,0,1,0,0,0,0,0,0
"107","Oxytropis_parryi",0,0,0,1,0,0,0,0,0,0
"108","Packera_cymbalaria",1,0,0,0,0,1,0,0,0,0
"109","Packera_subnuda",1,0,0,0,0,1,0,0,0,0
"110","Packera_werneriifolia",1,0,1,1,0,0,0,0,1,0
"111","Parnassia_fimbriata",1,0,0,0,0,0,0,1,0,0
"112","Pedicularis_groenlandica",1,0,0,0,0,1,0,1,0,0
"113","Penstemon_fruticosus",0,0,0,1,0,0,0,0,0,0
"114","Penstemon_montanus_var_idahoensis",0,1,1,0,1,0,0,0,0,0
"115","Penstemon_procerus_var_formosus",0,0,0,0,0,0,0,1,0,0
"116","Phacelia_hastata_var_alpina",0,0,1,0,0,0,0,1,0,0
"117","Phleum_alpinum",1,0,0,0,0,1,0,1,0,0
"118","Phlox",0,0,0,1,0,1,0,0,0,0
"119","Phlox_condensata",1,0,1,1,1,1,0,1,0,1
"120","Phlox_diffusa",0,0,0,0,0,1,0,0,0,0
"121","Phyllodoce_empetriformis",1,0,0,0,1,1,1,1,1,1
"122","Phyllodoce_glanduliflora",1,0,0,0,0,1,1,0,0,1
"123","Picea_engelmannii",0,1,0,0,0,0,0,0,0,0
"124","Pinus_albicaulis",1,1,0,0,1,0,0,0,1,1
"125","Poa_fendleriana_ssp_fendleriana",0,0,1,0,1,0,0,0,1,0
"126","Poa_secunda",1,1,1,1,0,1,0,1,1,1
"127","Polemonium_viscosum",0,0,1,1,0,1,0,1,1,1
"128","Potentilla_brevifolia",1,0,0,0,0,0,1,0,0,1
"129","Potentilla_glaucophylla_var_glaucophylla",1,0,0,1,0,1,0,0,0,1
"130","Ranunculus_eschscholtzii",1,0,1,0,0,0,0,0,0,1
"131","Ribes_lacustre",0,1,1,0,0,1,0,1,0,0
"132","Sabulina_rubella",0,0,0,1,0,0,0,0,0,0
"133","Salix_arctica",1,0,0,0,0,1,0,1,0,0
"134","Salix_nivalis",1,0,0,1,0,0,0,0,0,0
"135","Saxifraga_bronchialis",0,1,0,0,0,0,0,0,0,0
"136","Saxifraga_mertensiana",1,0,0,0,0,1,0,1,0,0
"137","Saxifraga_oppositifolia",0,0,0,1,0,0,0,0,0,0
"138","Sedum_debile",1,0,1,1,0,0,0,0,0,0
"139","Sedum_lanceolatum",1,1,0,1,1,1,1,1,0,1
"140","Selaginella_densa",0,0,1,0,0,0,0,0,1,0
"141","Selaginella_watsonii",0,0,0,0,0,0,0,1,0,0
"142","Senecio_fremontii",1,1,1,1,1,1,0,1,1,1
"143","Sibbaldia_procumbens",1,1,1,1,1,1,1,1,0,1
"144","Silene_acaulis",1,0,0,0,0,0,0,0,0,1
"145","Smelowskia_americana",0,0,0,1,0,1,0,1,1,1
"146","Solidago_multiradiata",1,0,0,1,1,1,0,1,0,0
"147","Stenotus_acaulis",1,0,1,1,0,0,0,0,0,0
"148","Symphyotrichum_foliaceum_var_apricum",1,0,0,1,0,1,0,1,0,0
"149","Symphyotrichum_spathulatum_var_spathulatum",1,0,0,0,0,0,0,1,0,0
"150","Synthyris_dissecta",1,0,0,0,0,0,0,0,0,1
"151","Taraxacum_scopulorum",0,0,0,0,0,1,0,1,0,0
"152","Tonestus_lyallii",0,0,1,0,0,1,1,0,1,0
"153","Trisetum_spicatum",1,0,1,1,1,1,1,1,1,1
"154","Veronica_wormskjoldii",1,0,0,0,0,1,0,0,0,0
"155","Viola_adunca",1,0,0,0,0,1,0,0,0,0
