"","Annotated.Name","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"94","Lupinus_argenteus_var_depressus",0,1,1,0,0,0,1,0,0
"95","Luzula_sp",1,1,0,0,1,1,1,0,1
"96","Minuartia_nuttallii",0,0,1,0,0,1,0,0,1
"97","Minuartia_obtusiloba",1,1,1,0,1,1,0,0,0
"98","Oxyria_digyna",1,1,0,1,1,1,1,1,0
"99","Oxytropis_deflexa",0,0,1,0,0,0,0,0,0
"100","Oxytropis_parryi",0,0,1,0,0,0,0,0,0
"101","Packera_subnuda",0,0,0,0,1,0,0,0,0
"102","Parnassia_fimbriata",0,0,0,0,0,0,1,0,0
"103","Pedicularis_groenlandica",0,0,0,0,1,0,1,0,0
"104","Penstemon_montanus_var_idahoensis",1,1,1,1,0,0,0,0,0
"105","Penstemon_procerus_var_formosus",0,0,0,0,0,0,1,0,0
"106","Phacelia_hastata",0,1,0,0,0,0,0,0,0
"107","Phlox_diffusa",0,0,0,0,1,0,0,0,0
"108","Phlox_pulvinata",0,1,1,1,0,0,1,0,1
"109","Phyllodoce_empetriformis",0,0,0,1,1,1,1,1,1
"110","Phyllodoce_glanduliflora",0,0,0,0,1,1,0,0,1
"111","Picea_engelmannii",1,0,0,0,0,0,0,0,0
"112","Pinus_albicaulis",1,0,0,1,0,0,0,0,1
"113","Poa_sp",1,1,1,1,1,1,1,1,1
"114","Polemonium_viscosum",0,1,1,0,1,0,1,1,1
"115","Polygonum_viviparum",0,0,0,0,1,0,0,0,0
"116","Potentilla_brevifolia",0,0,0,0,0,1,0,0,1
"117","Potentilla_glandulosa",0,1,0,0,1,1,1,1,0
"118","Potentilla_glandulosa_var_glandulosa",0,0,0,1,0,0,0,0,0
"119","Potentilla_glaucophylla_var_glaucophylla",0,0,1,0,1,0,1,0,0
"120","Ranunculus_eschscholtzii",0,1,0,0,0,0,0,0,0
"121","Ranunculus_eschscholtzii_var_eschscholtzii",0,0,0,0,0,0,0,0,1
"122","Ribes_lacustre",1,1,0,0,1,0,1,0,0
