"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.402173020977845,0.593300712969363,0.391812540440635,0.472213380004077,0.436922565023522,0.429900691623798,0.392769627007538,0.291066860487039
"Castle Peak",0.402173020977845,0,0.485623854766436,0.409248108503855,0.367672827554507,0.269916056278684,0.448510150323349,0.316096791089756,0.330074569518989
"D.O. Lee Peak",0.593300712969363,0.485623854766436,0,0.639599715937962,0.529297922823929,0.512394800765497,0.419853333669458,0.557290199130798,0.45400327222876
"Horstmann Peak",0.391812540440635,0.409248108503855,0.639599715937962,0,0.554261493016286,0.444388347376389,0.613436791860402,0.343688553713826,0.425107310462744
"Hyndman Peak",0.472213380004077,0.367672827554507,0.529297922823929,0.554261493016286,0,0.460173782598573,0.15483895196221,0.473711597324239,0.166148237656787
"Mount Cramer",0.436922565023522,0.269916056278684,0.512394800765497,0.444388347376389,0.460173782598573,0,0.547749053946659,0.412826113361811,0.304102361971904
"Salzburger Spitzl",0.429900691623798,0.448510150323349,0.419853333669458,0.613436791860402,0.15483895196221,0.547749053946659,0,0.476412490192251,0.176879600671934
"Snowyside Peak",0.392769627007538,0.316096791089756,0.557290199130798,0.343688553713826,0.473711597324239,0.412826113361811,0.476412490192251,0,0.51506535064461
"Thompson Peak",0.291066860487039,0.330074569518989,0.45400327222876,0.425107310462744,0.166148237656787,0.304102361971904,0.176879600671934,0.51506535064461,0
