"","betadiv.PhyloSor","betadiv.PhyloSor_turn","betadiv.PhyloSor_PD","betadiv.UniFrac","betadiv.UniFrac_turn","betadiv.UniFrac_PD","betadiv.SES_PhyloSor","betadiv.SES_PhyloSor_turn","betadiv.SES_PhyloSor_PD","betadiv.SES_UniFrac","betadiv.SES_UniFrac_turn","betadiv.SES_UniFrac_PD","util.pd.Com1","util.pd.Com2","util.pd.pd.obs.tot"
"Braxon Peak-Castle Peak",0.343116710728365,0.251699981448535,0.0914167292798304,0.510926128738723,0.402173020977845,0.108753107760878,-0.39279267160408,0.0300172200936703,-0.472653471122785,-0.360947390328431,0.0820859420127687,-0.455645367451523,2535.923703,3241.759441,3880.05139
"Braxon Peak-D.O. Lee Peak",0.464577350779696,0.421767977306468,0.042809373473228,0.634418319431704,0.593300712969363,0.0411176064623414,0.814972716997381,0.71759990840934,0.113773719955057,0.822258416135834,0.737628693452177,0.0133599622326205,2535.923703,2186.313176,3458.040589
"Braxon Peak-Horstmann Peak",0.299238451496339,0.243636112265165,0.055602339231174,0.460636692443491,0.391812540440635,0.0688241520028562,-0.175999172257918,-0.29410015577523,0.208312219955532,-0.137856243732548,-0.253908296421035,0.215152991859501,2535.923703,2938.352433,3556.195025
"Braxon Peak-Hyndman Peak",0.32936723849142,0.309083332596103,0.020283905895317,0.495524831596105,0.472213380004077,0.0233114515920288,-0.978905266422151,0.127378573688714,-1.30015590572498,-0.976755480244305,0.177958213187991,-1.26118377315936,2535.923703,2391.271295,3275.025804
"Braxon Peak-Mount Cramer",0.334185381744505,0.279527140016641,0.0546582417278639,0.500957942302655,0.436922565023522,0.0640353772791332,-0.529164330638966,-0.0973172088651669,-0.49775140972494,-0.501809037556276,-0.0470457879965623,-0.478545872557319,2535.923703,2952.283233,3661.142733
"Braxon Peak-Salzburger Spitzl",0.317726125039071,0.273804777398699,0.0439213476403722,0.482233931621642,0.429900691623798,0.0523332399978443,-0.608815817410274,0.16097451025721,-0.89929391601105,-0.581792763370151,0.211284264715842,-0.879660137547962,2535.923703,2862.423634,3556.771659
"Braxon Peak-Snowyside Peak",0.327463829525368,0.244376682775257,0.0830871467501109,0.493367611594287,0.392769627007538,0.100597984586749,-1.01737127231467,-1.46311337957379,0.904465611392407,-1.01259713230264,-1.52180949823003,1.13239552487994,2535.923703,2033.479358,3032.858643
"Braxon Peak-Thompson Peak",0.371778079403805,0.170320800596091,0.201457278807714,0.542038227590552,0.291066860487039,0.250971367103513,0.194624505701451,-0.832108159539884,1.23084891126504,0.237965455279983,-0.831896640276635,1.27231132515461,2535.923703,1545.016487,2799.072148
"Castle Peak-D.O. Lee Peak",0.4527651161672,0.320675848133845,0.132089268033355,0.623314961418843,0.485623854766436,0.137691106652407,1.95716383203803,0.907310011109628,0.991232652939018,1.85897587561717,0.926268792032116,0.604414384060381,3241.759441,2186.313176,3942.857273
"Castle Peak-Horstmann Peak",0.293730890153786,0.257267089036082,0.0364638011177033,0.454083445621167,0.409248108503855,0.0448353371173125,-1.48606384087183,-0.663064857197084,-0.895335925029887,-1.53879376717182,-0.642509893290149,-0.813453656128595,3241.759441,2938.352433,3997.700818
"Castle Peak-Hyndman Peak",0.342218953232426,0.225244567241794,0.116974385990631,0.509930145760898,0.367672827554507,0.142257318206391,0.688692342591267,-0.834511050053517,2.51963477695365,0.706774144815711,-0.822946445784107,2.47749921721743,3241.759441,2391.271295,3780.380309
"Castle Peak-Mount Cramer",0.195456667594796,0.156013271643981,0.0394433959508149,0.326999167586803,0.269916056278684,0.0570831113081194,-1.79266410685412,-1.57256279872871,-0.119468645201256,-1.88619174257858,-1.64855883251984,0.040519151099971,3241.759441,2952.283233,3702.354807
"Castle Peak-Salzburger Spitzl",0.333262419230439,0.289083522149258,0.0441788970811805,0.499920217390959,0.448510150323349,0.05141006706761,0.327091531085449,0.177123591503176,0.234669855391121,0.361913228261707,0.218588114392879,0.180602858298219,3241.759441,2862.423634,4069.238947
