"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.343116710728365,0.464577350779696,0.299238451496339,0.32936723849142,0.334185381744505,0.317726125039071,0.327463829525368,0.371778079403805
"Castle Peak",0.343116710728365,0,0.4527651161672,0.293730890153786,0.342218953232426,0.195456667594796,0.333262419230439,0.373768149296629,0.482060066464009
"D.O. Lee Peak",0.464577350779696,0.4527651161672,0,0.547909645083733,0.388554989704307,0.442161486942338,0.364039658862709,0.408508082354932,0.41506048804994
"Horstmann Peak",0.299238451496339,0.293730890153786,0.547909645083733,0,0.446671934735877,0.287357249705689,0.449713770859136,0.351736890649766,0.496818747630521
"Hyndman Peak",0.32936723849142,0.342218953232426,0.388554989704307,0.446671934735877,0,0.372460800310186,0.166070789566396,0.366132984217224,0.286110669334186
"Mount Cramer",0.334185381744505,0.195456667594796,0.442161486942338,0.287357249705689,0.372460800310186,0,0.386797537080385,0.396453982900848,0.43611959266971
"Salzburger Spitzl",0.317726125039071,0.333262419230439,0.364039658862709,0.449713770859136,0.166070789566396,0.386797537080385,0,0.429062157365556,0.36692567127448
"Snowyside Peak",0.327463829525368,0.373768149296629,0.408508082354932,0.351736890649766,0.366132984217224,0.396453982900848,0.429062157365556,0,0.436013813228278
"Thompson Peak",0.371778079403805,0.482060066464009,0.41506048804994,0.496818747630521,0.286110669334186,0.43611959266971,0.36692567127448,0.436013813228278,0
