"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,1.59629095790711,0.125883553674498,0.901263744797246,0.112137889436178,0.939168114648781,1.39594366678336,1.68726868148539,0.1760090636166
"Castle Peak",1.59629095790711,0,2.01338725542786,-0.171668397597632,2.21861405253311,0.0764986700027821,-0.845342263901908,0.507096920882341,1.27792739149328
"D.O. Lee Peak",0.125883553674498,2.01338725542786,0,0.972025176139305,-0.405434078662433,0.904769194388682,0.951804241434566,2.34663439385532,-0.555605710216279
"Horstmann Peak",0.901263744797246,-0.171668397597632,0.972025176139305,0,1.2114908090353,-0.860348170555479,0.57806414275809,-0.101128452158544,0.73799664668064
"Hyndman Peak",0.112137889436178,2.21861405253311,-0.405434078662433,1.2114908090353,0,1.36609390617348,1.21092526453759,2.32504494362229,-0.778475984771671
"Mount Cramer",0.939168114648781,0.0764986700027821,0.904769194388682,-0.860348170555479,1.36609390617348,0,0.173235953178234,0.701224315961331,0.555127658133577
"Salzburger Spitzl",1.39594366678336,-0.845342263901908,0.951804241434566,0.57806414275809,1.21092526453759,0.173235953178234,0,-0.483368857288402,1.35707463687109
"Snowyside Peak",1.68726868148539,0.507096920882341,2.34663439385532,-0.101128452158544,2.32504494362229,0.701224315961331,-0.483368857288402,0,1.82623035048189
"Thompson Peak",0.1760090636166,1.27792739149328,-0.555605710216279,0.73799664668064,-0.778475984771671,0.555127658133577,1.35707463687109,1.82623035048189,0
