"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.373052465725857,0.555040693720271,0.367935537307903,0.450316894603059,0.416432257972364,0.427360396390819,0.487135660336273,0.370314536048377
"Castle Peak",0.373052465725857,0,0.407120368134885,0.344715165742437,0.299568578661011,0.256933931229925,0.329305258478607,0.30470660979735,0.258718865088295
"D.O. Lee Peak",0.555040693720271,0.407120368134885,0,0.509071831385666,0.370102541714205,0.511233909311824,0.255334582704484,0.531610060851573,0.314435685737442
"Horstmann Peak",0.367935537307903,0.344715165742437,0.509071831385666,0,0.440355168200261,0.292818655022654,0.453943971923114,0.369213743165731,0.313471616202596
"Hyndman Peak",0.450316894603059,0.299568578661011,0.370102541714205,0.440355168200261,0,0.486418253451015,0.168049045902843,0.48952867194712,0.116949482250703
"Mount Cramer",0.416432257972364,0.256933931229925,0.511233909311824,0.292818655022654,0.486418253451015,0,0.399396907053073,0.442908751381457,0.321463522189361
"Salzburger Spitzl",0.427360396390819,0.329305258478607,0.255334582704484,0.453943971923114,0.168049045902843,0.399396907053073,0,0.308645047323066,0.209487420968637
"Snowyside Peak",0.487135660336273,0.30470660979735,0.531610060851573,0.369213743165731,0.48952867194712,0.442908751381457,0.308645047323066,0,0.418004008256231
"Thompson Peak",0.370314536048377,0.258718865088295,0.314435685737442,0.313471616202596,0.116949482250703,0.321463522189361,0.209487420968637,0.418004008256231,0
