"","betadiv.PhyloSor","betadiv.PhyloSor_turn","betadiv.PhyloSor_PD","betadiv.UniFrac","betadiv.UniFrac_turn","betadiv.UniFrac_PD","betadiv.SES_PhyloSor","betadiv.SES_PhyloSor_turn","betadiv.SES_PhyloSor_PD","betadiv.SES_UniFrac","betadiv.SES_UniFrac_turn","betadiv.SES_UniFrac_PD","util.pd.Com1","util.pd.Com2","util.pd.pd.obs.tot"
"Braxon Peak-Castle Peak",0.437521046736621,0.255760042642559,0.181761004094062,0.608716022252136,0.407339036053975,0.20137698619816,1.11878712843192,0.610259913527448,0.347484896849949,1.10312619505723,0.670288488207334,0.0771497520173905,2764.558266,4551.252269,5258.315809
"Braxon Peak-D.O. Lee Peak",0.408609559112883,0.370277139087368,0.0383324200255152,0.580160139435967,0.540441241446938,0.0397188979890288,-0.0385516281799791,0.193328625016483,-0.380525777674215,0.00823107263116623,0.242373427466447,-0.393444967781564,2764.558266,2447.302459,3670.738419
"Braxon Peak-Horstmann Peak",0.352323608403011,0.21762768265706,0.13469592574595,0.521064050370425,0.357461785333529,0.163602265036896,0.377468298689179,-0.450564017043695,1.13560028879369,0.418755779043256,-0.40469257561804,1.08645884889634,2764.558266,3914.437248,4516.081657
"Braxon Peak-Hyndman Peak",0.308286875031732,0.301028870049506,0.00725800498222662,0.471283295606332,0.462755096338563,0.00852819926776877,-0.587394341245089,0.838394505222329,-1.61291181735485,-0.550707385698171,0.876285420792049,-1.59503332102233,2764.558266,2822.57416,3654.786011
"Braxon Peak-Mount Cramer",0.369436194435201,0.294335257826684,0.0751009366085165,0.539544954246763,0.454805284870169,0.0847396693765942,0.130830730360273,0.255346738011721,-0.199694203804853,0.178963768743562,0.315774287006719,-0.252042022451316,2764.558266,3423.082949,4236.789919
"Braxon Peak-Salzburger Spitzl",0.449123834587481,0.294951609459043,0.154172225128439,0.61985570020706,0.455540743460301,0.164314956746759,1.13626047483351,0.364762313903638,0.735518475644177,1.11525731379188,0.421588600448908,0.490665552541771,2764.558266,4311.977182,5127.388092
"Braxon Peak-Snowyside Peak",0.441363897291505,0.339085891778415,0.10227800551309,0.612425353681857,0.506443826882653,0.105981526799204,1.00244884477756,0.476627491616843,0.591192250832834,0.998917037171579,0.524727058810409,0.392694864251941,2764.558266,3776.857701,4714.280406
"Braxon Peak-Thompson Peak",0.345245366573661,0.187467828836791,0.15777753773687,0.513282372349664,0.315743844648708,0.197538527700956,-0.496806630400112,-0.953617367012128,0.72836075420015,-0.451293848548275,-0.961294325855379,0.863527506183526,2764.558266,1865.494406,3114.278452
"Castle Peak-D.O. Lee Peak",0.49045554995337,0.271427463555701,0.219028086397669,0.658128382250265,0.426964921453909,0.231163460796356,2.40805992170751,0.834083555366178,1.37318794902409,2.18704155170463,0.87851160699025,0.797346155058523,4551.252269,2447.302459,5215.517368
"Castle Peak-Horstmann Peak",0.279897581908921,0.221323129510544,0.0585744523983772,0.437374967911829,0.362431733523692,0.0749432343881367,-0.637818551101329,-0.0790269960232137,-0.582228745432083,-0.608305186891581,-0.0218003529425058,-0.558369583574988,4551.252269,3914.437248,5417.607771
