"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.608716022252136,0.580160139435967,0.521064050370425,0.471283295606332,0.539544954246763,0.61985570020706,0.612425353681857,0.513282372349664
"Castle Peak",0.608716022252136,0,0.658128382250265,0.437374967911829,0.552030791254715,0.421065609756075,0.378782263197185,0.407504677150353,0.671019308113365
"D.O. Lee Peak",0.580160139435967,0.658128382250265,0,0.671814841898633,0.42674373628297,0.646931090333122,0.553995166461476,0.649504334129207,0.476432858452911
"Horstmann Peak",0.521064050370425,0.437374967911829,0.671814841898633,0,0.570687448226943,0.393455965222147,0.51282511033617,0.405605392670526,0.652949893938651
"Hyndman Peak",0.471283295606332,0.552030791254715,0.42674373628297,0.570687448226943,0,0.552407342238898,0.43465811770413,0.593530001049771,0.402205255640521
"Mount Cramer",0.539544954246763,0.421065609756075,0.646931090333122,0.393455965222147,0.552407342238898,0,0.518788143740502,0.484530599127002,0.609939254240382
"Salzburger Spitzl",0.61985570020706,0.378782263197185,0.553995166461476,0.51282511033617,0.43465811770413,0.518788143740502,0,0.401038738421985,0.633497028275381
"Snowyside Peak",0.612425353681857,0.407504677150353,0.649504334129207,0.405605392670526,0.593530001049771,0.484530599127002,0.401038738421985,0,0.687683759208873
"Thompson Peak",0.513282372349664,0.671019308113365,0.476432858452911,0.652949893938651,0.402205255640521,0.609939254240382,0.633497028275381,0.687683759208873,0
