"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.0966274895162404,-1.137762291022,1.184717842648,-1.45185459363711,-0.0301484813114217,0.606463442253465,0.389392899625897,0.235077392910649
"Castle Peak",0.0966274895162404,0,0.846482326659039,-0.6658098374357,2.55576793600743,0.626987317209171,-0.791711463579807,-0.45670026407851,0.474987189338742
"D.O. Lee Peak",-1.137762291022,0.846482326659039,0,1.88006319651791,-0.807037775724,0.656900019460597,2.42311777825419,1.01045503861612,-0.289196810576427
"Horstmann Peak",1.184717842648,-0.6658098374357,1.88006319651791,0,0.959945322727433,0.245287525100111,-0.604938092134168,-0.878041613321465,1.4107161053652
"Hyndman Peak",-1.45185459363711,2.55576793600743,-0.807037775724,0.959945322727433,0,0.0616716362906714,4.6015118663414,0.338726718456551,-1.05703211002866
"Mount Cramer",-0.0301484813114217,0.626987317209171,0.656900019460597,0.245287525100111,0.0616716362906714,0,0.759939948360912,-0.55008720865373,0.435537970125778
"Salzburger Spitzl",0.606463442253465,-0.791711463579807,2.42311777825419,-0.604938092134168,4.6015118663414,0.759939948360912,0,-0.00339019588080499,1.05278978387484
"Snowyside Peak",0.389392899625897,-0.45670026407851,1.01045503861612,-0.878041613321465,0.338726718456551,-0.55008720865373,-0.00339019588080499,0,0.278850423529362
"Thompson Peak",0.235077392910649,0.474987189338742,-0.289196810576427,1.4107161053652,-1.05703211002866,0.435537970125778,1.05278978387484,0.278850423529362,0
