"","x"
"172","Cassiope_mertensiana_var_gracilis_14292"
"173","Androsace_septentrionalis_14464"
"174","Androsace_septentrionalis_14689"
"175","Eriogonum_ovalifolium_var_depressum_14649"
"176","Eriogonum_ovalifolium_var_depressum_14602"
"177","Eriogonum_ovalifolium_14244"
"178","Eriogonum_ovalifolium_14280"
"179","Eriogonum_ovalifolium_14327"
"180","Eriogonum_ovalifolium_14344"
"181","Eriogonum_ovalifolium_14349"
"182","Eriogonum_ovalifolium_var_depressum_14450"
"183","Eriogonum_ovalifolium_14366"
"184","Eriogonum_ovalifolium_var_depressum_14702"
"185","Eriogonum_ovalifolium_var_depressum_13542"
"186","Eriogonum_ovalifolium_var_depressum_13564"
"187","Eriogonum_ovalifolium_var_purpureum_14133"
"188","Eriogonum_ovalifolium_var_depressum_13543"
"189","Eriogonum_flavum_var_piperi_14654"
"190","Eriogonum_pyrolaefolium_var_coryphaeum_14126"
"191","Eriogonum_flavum_var_piperi_14650"
"192","Eriogonum_pyrolaefolium_var_coryphaeum_13567"
"193","Eriogonum_crosbyae_13541"
"194","Eriogonum_crosbyae_14242"
"195","Eriogonum_crosbyae_14607"
"196","Eriogonum_crosbyae_14681"
"197","Eriogonum_crosbyae_14350"
"198","Oxyria_digyna_14445"
"199","Oxyria_digyna_14257"
"200","Oxyria_digyna_14343"
"201","Oxyria_digyna_14125"
"202","Oxyria_digyna_13580"
"203","Oxyria_digyna_14329"
"204","Oxyria_digyna_14631"
"205","Bistorta_bistortoides_14417"
"206","Bistorta_bistortoides_14432"
"207","Bistorta_bistortoides_14584"
"208","Polygonum_viviparum_14573"
"209","Aconogonon_phytolaccaefolium_14229"
"210","Minuartia_obtusiloba_13565"
"211","Minuartia_obtusiloba_14304"
"212","Minuartia_obtusiloba_14621"
"213","Minuartia_obtusiloba_14705"
"214","Minuartia_nuttallii_13544"
"215","Minuartia_obtusiloba_14249"
"216","Minuartia_nuttallii_14305"
"217","Minuartia_obtusiloba_14608"
"218","Cerastium_beeringianum_14687"
"219","Cerastium_arvense_14575"
"220","Cerastium_beeringianum_14628"
"221","Cerastium_beeringianum_14451"
"222","Cerastium_beeringianum_14632"
"223","Eremogone_aculeata_14438"
"224","Eremogone_congesta_14589"
"225","Eremogone_aculeata_14663"
"226","Eremogone_congesta_14670"
"227","Silene_acaulis_13555"
"228","Minuartia_nuttallii_14697"
"229","Claytonia_megarhiza_14614"
"230","Claytonia_megarhiza_14448"
"231","Claytonia_megarhiza_14293"
"232","Claytonia_megarhiza_14267"
"233","Claytonia_megarhiza_var_bellidifolia_14001"
"234","Claytonia_megarhiza_14341"
"235","Claytonia_megarhiza_var_bellidifolia_14034"
