Accepted Name GenBank,Accepted Name GenBank MiSeq Data,MiSeq_Label_190402,PHLAWD,MiSeq Label 190117,MiSeq Accession Number,DNA accession Number,Extraction Date,Collection ,Date Collected,Locality,Summit,Range,Meadow,Occurrence,Elevation (ft),WGS N,WGS W,Herbarium,Barcode,Specimen_voucher,Collected_by,Collection_date,Country,Lat_Lon,Tissue_type
Agrostis_variabilis,,Agrostis_variabilis_NA,,NA,NA,,,Marx 2013-220,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: Meadow above treeline,Salzburger Spitzl,Pioneer Mountians,1,1,10089,43.76619,-114.15839,ID,ID179593,ID:174227,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.76619 N 114.15839 W,Leaf
Androsace_septentrionalis,Androsace_septentrionalis,Androsace_septentrionalis_14464,Androsace_septentrionalis,Androsace_septentrionalis_14464,14464,2014-464,10-Jun-14,Marx 2013-263,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942,ID,ID169626,ID:169324,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.77446 N 114.15942 W,Leaf
Androsace_septentrionalis,,Androsace_septentrionalis_NA,Androsace_septentrionalis,NA,NA,,,Marx 2013-334,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312,ID,ID169492,ID:169213,H.E. Marx,9-Aug-13,"USA: Idaho, Pioneer Mountians, Hyndman Peak",43.74938 N 114.1312 W,Leaf
Androsace_septentrionalis,Androsace_septentrionalis,Androsace_septentrionalis_14689,Androsace_septentrionalis,Androsace_septentrionalis_14689,14689,2014-689,25-Jun-14,Marx 2013-392,14-Aug-13,"Idaho: Sawtooth National Forest:White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859,ID,ID169721,ID:169429,H.E. Marx,14-Aug-13,"USA: Idaho, White Cloud Mountains, D.O. Lee Peak",44.10277 N 114.62859 W,Leaf
Anemone_drummondii,Anemone_drummondii,Anemone_drummondii_14309,Anemone_drummondii,Anemone_drummondii_14309,14309,2014-309,30-May-14,Marx 2013-078,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117,ID,ID169660,ID:169366,H.E. Marx,19-Jul-13,"USA: Idaho, Sawtooth Mountains, Mount Cramer",44.01108 N 114.98117 W,Leaf
Anemone_drummondii,Anemone_drummondii,Anemone_drummondii_14682,Anemone_drummondii,Anemone_drummondii_14682,14682,2014-682,25-Jun-14,Marx 2013-385,14-Aug-13,"Idaho: Sawtooth National Forest:White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859,ID,ID169754,ID:169465,H.E. Marx,14-Aug-13,"USA: Idaho, White Cloud Mountains, D.O. Lee Peak",44.10277 N 114.62859 W,Leaf
Anemone_drummondii,Anemone_drummondii,Anemone_drummondii_13562,Anemone_drummondii,Anemone_drummondii_var_drummondii_13562,13562,2013-562,30-Dec-13,Marx 2012-029,10-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Braxon Peak: Summit down south face to treeline,Braxon Peak,Sawtooth Mountains,0,1,10353,44.09333,-115.99681,ID,ID169477,ID:169183,H.E. Marx,10-Aug-12,"USA: Idaho, Sawtooth Mountains, Braxon Peak",44.09333 N 115.99681 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14019,Antennaria_alpina,Antennaria_alpina_14019,14019,2014-019,15-Jan-14,Clevenger 2012-012,1-Aug-12,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",Thompson Peak,Sawtooth Mountains,1,1,10105,44.14219,-115.01358,ID,ID169569,ID:169270,B.R. Clevenger & H.E. Marx,1-Aug-12,"USA: Idaho, Sawtooth Mountains, Thompson Peak",44.14219 N 115.01358 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14311,Antennaria_alpina,Antennaria_alpina_14311,14311,2014-311,30-May-14,Marx 2013-080,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117,ID,ID169669,ID:169371,H.E. Marx,19-Jul-13,"USA: Idaho, Sawtooth Mountains, Mount Cramer",44.01108 N 114.98117 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14322,Antennaria_alpina,Antennaria_alpina_14322,14322,2014-322,30-May-14,Marx 2013-091,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117,ID,ID169659,ID:169367,H.E. Marx,19-Jul-13,"USA: Idaho, Sawtooth Mountains, Mount Cramer",44.01108 N 114.98117 W,Leaf
