Annotated_Name,Annotated_Tip,Tip Label 190117,Tip Label 161228,Tip Label 160511,Species ,MiSeq ,PHLAWD,DNA log Species Name,DNA accession #,Tube ,Extraction Date,Collection ,Date Collected,Locality,Summit,Range,Meadow,Occurrence,Elevation (ft),WGS N,WGS W
Agrostis_variabilis,NA,NA,NA,NA,,,,,,,,Marx 2013-220,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: Meadow above treeline,Salzburger Spitzl,Pioneer Mountians,1,1,10089,43.76619,-114.15839
Androsace_septentrionalis,Androsace_septentrionalis,Androsace_septentrionalis_14464,Androsace_septentrionalis_14464,Androsace_septentrionalis_14464,Androsace_septentrionalis,14464,Androsace_septentrionalis,Androsace septentrionalis,2014-464,14464,10-Jun-14,Marx 2013-263,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942
Androsace_septentrionalis,NA,NA,NA,NA,,,Androsace_septentrionalis,,,,,Marx 2013-334,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312
Androsace_septentrionalis,Androsace_septentrionalis,Androsace_septentrionalis_14689,Androsace_septentrionalis_14689,Androsace_septentrionalis_14689,Androsace_septentrionalis,14689,Androsace_septentrionalis,Androsace septentrionalis,2014-689,14689,25-Jun-14,Marx 2013-392,14-Aug-13,"Idaho: Sawtooth National Forest: White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859
Anemone_drummondii,Anemone_drummondii,Anemone_drummondii_14309,Anemone_drummondii_14309,Anemone_drummondii_14309,Anemone_drummondii,14309,Anemone_drummondii,Anemone drummondii,2014-309,14309,30-May-14,Marx 2013-078,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Anemone_drummondii,Anemone_drummondii,Anemone_drummondii_14682,Anemone_drummondii_14682,Anemone_drummondii_14682,Anemone_drummondii,14682,Anemone_drummondii,Anemone drummondii,2014-682,14682,25-Jun-14,Marx 2013-385,14-Aug-13,"Idaho: Sawtooth National Forest: White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859
Anemone_drummondii_var_drummondii,Anemone_drummondii_var_drummondii,Anemone_drummondii_var_drummondii_13562,Anemone_drummondii_var_drummondii_13562,Anemone_drummondii_var_drummondii_13562,Anemone_drummondii_var_drummondii,13562,Anemone_drummondii,Anemone drummondii var. drummondii,2013-562,13562,30-Dec-13,Marx 2012-029,10-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Braxon Peak: Summit down south face to treeline,Braxon Peak,Sawtooth Mountains,0,1,10353,44.09333,-115.99681
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14019,Antennaria_alpina_14019,Antennaria_alpina_14019,Antennaria_alpina,14019,Antennaria_alpina,Antennaria alpina,2014-019,14019,15-Jan-14,Clevenger 2012-012,1-Aug-12,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",Thompson Peak,Sawtooth Mountains,1,1,10105,44.14219,-115.01358
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14311,Antennaria_alpina_14311,Antennaria_alpina_14311,Antennaria_alpina,14311,Antennaria_alpina,Antennaria alpina,2014-311,14311,30-May-14,Marx 2013-080,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14322,Antennaria_alpina_14322,Antennaria_alpina_14322,Antennaria_alpina,14322,Antennaria_alpina,Antennaria alpina,2014-322,14322,30-May-14,Marx 2013-091,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
