Annotated Name,Tip Label 160511,Species ,Extraction #,PHLAWD,DNA Log Species Name,Collection #,ID for database,Date Collected,Summit,Occurrence,Range,Meadow,Locality Detail,Elevation (ft.),WGS N,WGS W,Leaf Sample
Polemonium_viscosum,Polemonium_viscosum_13554,Polemonium_viscosum,13554,Polemonium_viscosum,Polemonium viscosum,Marx 2012-019,Polemonium viscosum,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Silene_acaulis,Silene_acaulis_13555,Silene_acaulis,13555,Silene_acaulis,Silene acaulis,Marx 2012-020,Silene acaulis,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
NA,NA,NA,NA,,NA,Marx 2012-021a,Minuartia obtusiloba,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,0
NA,NA,NA,NA,,NA,Marx 2012-021b,Cassiope mertensiana var. gracilis,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,0
NA,NA,NA,NA,Castilleja_applegatei,Castelleja applegatei var. viscida,Marx 2012-022,Castelleja applegatei ,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: South facing gravel slope just above camp at Profile Lake,9064,44.14639,115.00528,1
NA,NA,NA,NA,Castilleja_applegatei,Castelleja applegatei var. viscida,Marx 2012-023,Castelleja applegatei ,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: South facing gravel slope just above camp at Profile Lake,9064,44.14639,115.00528,1
NA,NA,NA,NA,Castilleja_applegatei,Castelleja applegatei var. viscida,Marx 2012-024,Castelleja applegatei ,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: South facing gravel slope just above camp at Profile Lake,9064,44.14639,115.00528,1
NA,NA,NA,NA,,NA,Marx 2012-025,Gentiana calycosa,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,0
Ivesia_gordonii,Ivesia_gordonii_13559,Ivesia_gordonii,13559,Ivesia_gordonii,Ivesia gordonii,Marx 2012-026,Ivesia gordonii,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Bupleurum_americanum,Bupleurum_americanum_13560,Bupleurum_americanum,13560,Bupleurum_americanum,Bupleurum americanum,Marx 2012-027,Bupleurum americanum,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
NA,NA,NA,NA,Potentilla_glaucophylla,Potentilla glaucophylla var. glaucophylla,Marx 2012-028,Potentilla glaucophylla var. glaucophylla,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Lewisia_pygmaea_var_pygmara,Lewisia_pygmaea_var_pygmara_14010,Lewisia_pygmaea_var_pygmara,14010,Lewisia_pygmaea,Lewisia pygmaea var. pygmara,Clevenger 2012-001,Lewisia pygmaea var. pygmara,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Arabis_microphylla,Arabis_microphylla_14011,Arabis_microphylla,14011,Boechera_microphylla,Arabis microphylla,Clevenger 2012-002,Arabis microphylla,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Erigeron_grandiflorus,Erigeron_grandiflorus_14012,Erigeron_grandiflorus,14012,Erigeron_grandiflorus,Erigeron grandiflorus,Clevenger 2012-003,Erigeron grandiflorus,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Chionophila_tweedyi,Chionophila_tweedyi_14013,Chionophila_tweedyi,14013,Chionophila_tweedyi,Chionophila tweedyi,Clevenger 2012-004,Chionophila tweedyi,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Potentilla_brevifolia,Potentilla_brevifolia_14015,Potentilla_brevifolia,14015,Sibbaldia_procumbens,Sibbaldia procumbens,Clevenger 2012-005,Sibbaldia procumbens,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
