"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,-0.629820108493391,0.409283906760633,-0.347008520968746,-0.504539117288489,-0.769336689208148,0.00675764126653369,-1.04499755885944,-0.947095380367162
"Castle Peak",-0.629820108493391,0,1.00656630435062,-1.99080723453852,0.9403525269698,-2.10581007527457,0.396609383317402,1.1707006883635,-0.779884465343466
"D.O. Lee Peak",0.409283906760633,1.00656630435062,0,0.66153745532674,0.37169248113814,-0.484675142497785,-0.348728644455714,1.14511259544681,1.87678388512593
"Horstmann Peak",-0.347008520968746,-1.99080723453852,0.66153745532674,0,0.614688949465982,-1.94019394742112,0.970047443928104,-1.86977287382259,-1.65144624306959
"Hyndman Peak",-0.504539117288489,0.9403525269698,0.37169248113814,0.614688949465982,0,0.944621731004837,-0.909854762267362,1.34461747385025,1.40482526962125
"Mount Cramer",-0.769336689208148,-2.10581007527457,-0.484675142497785,-1.94019394742112,0.944621731004837,0,0.471819522871539,0.904585925386091,-0.352391390336413
"Salzburger Spitzl",0.00675764126653369,0.396609383317402,-0.348728644455714,0.970047443928104,-0.909854762267362,0.471819522871539,0,1.19851621280752,1.75765538429932
"Snowyside Peak",-1.04499755885944,1.1707006883635,1.14511259544681,-1.86977287382259,1.34461747385025,0.904585925386091,1.19851621280752,0,0.0695035935385612
"Thompson Peak",-0.947095380367162,-0.779884465343466,1.87678388512593,-1.65144624306959,1.40482526962125,-0.352391390336413,1.75765538429932,0.0695035935385612,0
