"","betadiv.PhyloSor","betadiv.PhyloSor_turn","betadiv.PhyloSor_PD","betadiv.UniFrac","betadiv.UniFrac_turn","betadiv.UniFrac_PD","betadiv.SES_PhyloSor","betadiv.SES_PhyloSor_turn","betadiv.SES_PhyloSor_PD","betadiv.SES_UniFrac","betadiv.SES_UniFrac_turn","betadiv.SES_UniFrac_PD","util.pd.Com1","util.pd.Com2","util.pd.pd.obs.tot"
"Braxon Peak-Castle Peak",0.343116710728365,0.251699981448535,0.0914167292798304,0.510926128738723,0.402173020977845,0.108753107760878,-0.646602539526859,-0.118954788440662,-0.527461751537053,-0.623069538982508,-0.0689399220696447,-0.47785014695573,2535.923703,3241.759441,3880.05139
"Braxon Peak-D.O. Lee Peak",0.462357202330295,0.403887339665755,0.0584698626645398,0.632345095430199,0.57538426090788,0.0569608345223196,0.358494597547559,1.36435850576387,-1.46454479687949,0.389787902277368,1.34069007677896,-1.47911902245944,2535.923703,3087.498508,4111.725986
"Braxon Peak-Horstmann Peak",0.303607850108058,0.243636112265165,0.0599717378428932,0.465796290016037,0.391812540440635,0.073983749575402,-0.398834578902523,-0.483970270013984,0.197833594029706,-0.363712367593376,-0.449365906732491,0.23405429868496,2535.923703,2972.699883,3590.542475
"Braxon Peak-Hyndman Peak",0.415388030138362,0.314419214606789,0.100968815531573,0.58695993083643,0.478415426543879,0.10854450429255,-0.518316073338054,1.05637093245924,-1.83504862230994,-0.489809701233976,1.06893436505228,-1.74487797184512,2535.923703,3411.886652,4209.229791
"Braxon Peak-Mount Cramer",0.334185381744505,0.279527140016641,0.0546582417278639,0.500957942302655,0.436922565023522,0.0640353772791332,-0.804612273004091,-0.277038404418108,-0.543085618582309,-0.787819813222119,-0.23049035315549,-0.496483555047731,2535.923703,2952.283233,3661.142733
"Braxon Peak-Salzburger Spitzl",0.398315607619853,0.258770111349837,0.139545496270017,0.569707733288978,0.411147530461055,0.158560202827922,0.00322792025824366,0.743839079423935,-0.892160159996745,0.0388644278723707,0.78300737401555,-0.942608031450685,2535.923703,3712.210594,4368.431853
"Braxon Peak-Snowyside Peak",0.340681068140106,0.323786524293715,0.0168945438463914,0.508220897924254,0.489182384548696,0.0190385133755577,-0.960885456691263,-0.390319300122455,-0.895965055306158,-0.957861663608882,-0.350265830378078,-0.85349683061613,2535.923703,2412.29716,3316.993016
"Braxon Peak-Thompson Peak",0.31532832232017,0.206336666746318,0.108991655573852,0.47946709117302,0.342088029708723,0.137379061464297,-1.03776282163139,-1.00159526612762,0.234920968454427,-1.03318495182785,-1.00921197284278,0.404445812186287,2535.923703,3343.301989,3866.556033
"Castle Peak-D.O. Lee Peak",0.367765281768578,0.351971085065865,0.0157941967027132,0.537760808335539,0.520678421238155,0.0170823870973835,0.949973372388346,1.32516931270745,-0.759256327834134,0.952775515817434,1.29884651163835,-0.797404483978957,3241.759441,3087.498508,4328.469641
"Castle Peak-Horstmann Peak",0.293291116245787,0.261308947277945,0.0319821689678423,0.453557768334732,0.414345665020264,0.039212103314468,-1.7930491357459,-0.919402588061915,-0.898411864438585,-1.88842864265875,-0.913711043362955,-0.790912867363893,3241.759441,2972.699883,4018.552518
