"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.0914167292798304,0.0584698626645398,0.0599717378428932,0.100968815531573,0.0546582417278639,0.139545496270017,0.0168945438463914,0.108991655573852
"Castle Peak",0.0914167292798304,0,0.0157941967027132,0.0319821689678423,0.0164076215405366,0.0394433959508149,0.0484490849977665,0.114319284807856,0.010325807537664
"D.O. Lee Peak",0.0584698626645398,0.0157941967027132,0,0.0102857628267416,0.0355732249267198,0.0144498876235634,0.0715649848835573,0.0778300396559504,0.0230162899518627
"Horstmann Peak",0.0599717378428932,0.0319821689678423,0.0102857628267416,0,0.0407282626759586,0.00248996174470375,0.0701283944328143,0.0812595900543845,0.0442642552696369
"Hyndman Peak",0.100968815531573,0.0164076215405366,0.0355732249267198,0.0407282626759586,0,0.0485888023612042,0.0355155537621668,0.12192145725378,0.00620175025024963
"Mount Cramer",0.0546582417278639,0.0394433959508149,0.0144498876235634,0.00248996174470375,0.0485888023612042,0,0.0803498476463547,0.0745230439310822,0.0495926289267382
"Salzburger Spitzl",0.139545496270017,0.0484490849977665,0.0715649848835573,0.0701283944328143,0.0355155537621668,0.0803498476463547,0,0.156620381327076,0.030044943231236
"Snowyside Peak",0.0168945438463914,0.114319284807856,0.0778300396559504,0.0812595900543845,0.12192145725378,0.0745230439310822,0.156620381327076,0,0.123637684237345
"Thompson Peak",0.108991655573852,0.010325807537664,0.0230162899518627,0.0442642552696369,0.00620175025024963,0.0495926289267382,0.030044943231236,0.123637684237345,0
