"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.251699981448535,0.403887339665755,0.243636112265165,0.314419214606789,0.279527140016641,0.258770111349837,0.323786524293715,0.206336666746318
"Castle Peak",0.251699981448535,0,0.351971085065865,0.261308947277945,0.358300730865366,0.156013271643981,0.283850229403866,0.220738879035948,0.330368616022178
"D.O. Lee Peak",0.403887339665755,0.351971085065865,0,0.457016463979186,0.287260972823764,0.35455393313884,0.22104743928835,0.366041972208764,0.421379379659282
"Horstmann Peak",0.243636112265165,0.261308947277945,0.457016463979186,0,0.407921331357619,0.277404407831083,0.366064572553421,0.21916394371579,0.245624580596117
"Hyndman Peak",0.314419214606789,0.358300730865366,0.287260972823764,0.407921331357619,0,0.327186483059229,0.157522184004839,0.289615403767254,0.389163830333246
"Mount Cramer",0.279527140016641,0.156013271643981,0.35455393313884,0.277404407831083,0.327186483059229,0,0.295339145395607,0.259638571642641,0.201535432762457
"Salzburger Spitzl",0.258770111349837,0.283850229403866,0.22104743928835,0.366064572553421,0.157522184004839,0.295339145395607,0,0.262087216899928,0.425379424197746
"Snowyside Peak",0.323786524293715,0.220738879035948,0.366041972208764,0.21916394371579,0.289615403767254,0.259638571642641,0.262087216899928,0,0.235654931086517
"Thompson Peak",0.206336666746318,0.330368616022178,0.421379379659282,0.245624580596117,0.389163830333246,0.201535432762457,0.425379424197746,0.235654931086517,0
