"","desc","value"
"1","Root_state","0,1"
"2","mu","0.310507884531293"
"3","gamma_0","0.111867947922128"
"4","loglik.obs","-78.204517138888"
"5","df","2"
"6","conv","0"
"7","n.obs","35"
"8","mntd.obs","107.580163228571"
"9","mpd.obs","275.237183220168"
"10","runs","1000"
"11","mntd.mean.RD","102.361093785029"
"12","mntd.sd.RD","15.8152926125517"
"13","mntd.obs.z.RD","-0.330001446789594"
"14","mntd.obs.rank.RD","616"
"15","mntd.obs.q.RD","0.615384615384615"
"16","mpd.mean.RD","263.736835563059"
"17","mpd.sd.RD","25.8315544656612"
"18","mpd.obs.z.RD","-0.44520540459139"
"19","mpd.obs.rank.RD","675"
"20","mpd.obs.q.RD","0.674325674325674"
"21","n.mean.DAMOCLES","35.046"
"22","mntd.mean.DAMOCLES","104.410816370841"
"23","mntd.sd.DAMOCLES","17.3767143128761"
"24","mntd.obs.z.DAMOCLES","-0.182390456599859"
"25","mntd.obs.rank.DAMOCLES","594"
"26","mntd.obs.q.DAMOCLES","0.593406593406593"
"27","mpd.mean.DAMOCLES","267.40415622597"
"28","mpd.sd.DAMOCLES","25.5236368733742"
"29","mpd.obs.z.DAMOCLES","-0.306893058895117"
"30","mpd.obs.rank.DAMOCLES","642"
"31","mpd.obs.q.DAMOCLES","0.641358641358641"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
