"","species","ITS","trnTLF","rbcL","matK","atpB","ndhF"
"Dasiphora_fruticosa","Dasiphora_fruticosa","ncbi|9392379",NA,"ncbi|290586169","miseq|14415","miseq|14415","miseq|14415"
"Deschampsia_cespitosa","Deschampsia_cespitosa","miseq|14662","ncbi|237626091",NA,"ncbi|133917435","miseq|14407","miseq|14407"
"Deschampsia_cespitosa_ssp_cespitosa","Deschampsia_cespitosa",NA,NA,NA,NA,"miseq|14585","miseq|14585"
"Draba_crassifolia","Draba_crassifolia","miseq|13569","miseq|13569","miseq|13569","miseq|13569","miseq|13569","miseq|13569"
"Draba_densifolia","Draba_densifolia","ncbi|17104494","ncbi|94537846",NA,NA,NA,NA
"Draba_lonchocarpa","Draba_lonchocarpa","miseq|14610","miseq|14268","miseq|14610","miseq|14455","miseq|14268","miseq|14268"
"Draba_oligosperma","Draba_oligosperma","miseq|14604","ncbi|94537769","miseq|14604","ncbi|459928282",NA,"miseq|14604"
"Draba_oreibata","Draba_oreibata",NA,"miseq|14404","miseq|14335",NA,"miseq|14217","miseq|14217"
"Draba_stenoloba","Draba_stenoloba","ncbi|94538264","ncbi|58978832",NA,NA,NA,NA
"Drymocallis_glandulosa","Drymocallis_glandulosa","miseq|14405","ncbi|337294392",NA,"miseq|14230","miseq|14255","miseq|14230"
"Drymocallis_lactea","Drymocallis_lactea",NA,NA,"miseq|14572","miseq|14572","miseq|14572","miseq|14572"
"Drymocallis_pseudorupestris_var_pseudorupestris","Drymocallis_pseudorupestris","miseq|14426",NA,NA,"miseq|14426",NA,"miseq|14426"
"Elymus_elymoides","Elymus_elymoides","miseq|14356","miseq|14251","miseq|14251","ncbi|601116327","miseq|14225","miseq|14225"
"Elymus_scribneri","Elymus_scribneri","miseq|14673","miseq|14673","miseq|14673",NA,NA,"miseq|14673"
"Epilobium_alpinum","Epilobium_alpinum","miseq|14123","miseq|14123","miseq|14123","miseq|14252","miseq|14123","miseq|14123"
"Epilobium_obcordatum","Epilobium_obcordatum","miseq|14130","miseq|14130",NA,NA,"miseq|14130","miseq|14130"
"Eremogone_aculeata","Eremogone_aculeata","ncbi|374350708","miseq|14438",NA,"ncbi|374350945","miseq|14438","miseq|14438"
"Eremogone_congesta","Eremogone_congesta","miseq|14589","miseq|14589","miseq|14670","miseq|14589","miseq|14589","miseq|14589"
"Ericameria_discoidea","Ericameria_discoidea","miseq|14626",NA,"miseq|14626","miseq|14274","miseq|14274","miseq|14274"
"Ericameria_suffruticosa","Ericameria_suffruticosa","miseq|14657",NA,NA,"miseq|14657",NA,"miseq|14657"
"Erigeron","Erigeron_NA","miseq|14667",NA,NA,"miseq|14667",NA,"miseq|14667"
"Erigeron_asperugineus","Erigeron_asperugineus",NA,NA,NA,"miseq|14247",NA,"miseq|14247"
