"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.609788891695718,0.548894974837714,0.548590209808435,0.603619541440032,0.532438289323623,0.655587422175246,0.613241084871359,0.446818779557971
"Castle Peak",0.609788891695718,0,0.578131919066507,0.426101009550966,0.501586611592898,0.422622702460988,0.399893499599337,0.413965098468008,0.555189464026395
"D.O. Lee Peak",0.548894974837714,0.578131919066507,0,0.578890744802397,0.427537524449325,0.555029619721348,0.437083673490803,0.633896454708373,0.499224881591692
"Horstmann Peak",0.548590209808435,0.426101009550966,0.578890744802397,0,0.497099793497177,0.365803846955795,0.525033192272836,0.389856407960201,0.44669818084002
"Hyndman Peak",0.603619541440032,0.501586611592898,0.427537524449325,0.497099793497177,0,0.521571924710274,0.374328340267225,0.594223300551417,0.554092085507064
"Mount Cramer",0.532438289323623,0.422622702460988,0.555029619721348,0.365803846955795,0.521571924710274,0,0.521352953518014,0.479240518355672,0.462767698663011
"Salzburger Spitzl",0.655587422175246,0.399893499599337,0.437083673490803,0.525033192272836,0.374328340267225,0.521352953518014,0,0.437648872260011,0.632797533311833
"Snowyside Peak",0.613241084871359,0.413965098468008,0.633896454708373,0.389856407960201,0.594223300551417,0.479240518355672,0.437648872260011,0,0.563112552281875
"Thompson Peak",0.446818779557971,0.555189464026395,0.499224881591692,0.44669818084002,0.554092085507064,0.462767698663011,0.632797533311833,0.563112552281875,0
