"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.109790910830674,-0.81045603447699,1.30414711275614,-1.22367436701689,0.0343394978596311,-0.0297480286958495,0.499241953139981,0.208445847890483
"Castle Peak",0.109790910830674,0,1.2024019079243,-0.651015300070864,-1.15845516666693,0.621271365404639,-0.347907082233656,-0.517760869568536,0.449732051309604
"D.O. Lee Peak",-0.81045603447699,1.2024019079243,0,-0.918760087964479,0.10624769964806,-1.43612195187772,2.64279899317494,-1.31540541207191,-0.85289421697818
"Horstmann Peak",1.30414711275614,-0.651015300070864,-0.918760087964479,0,-2.12962546623143,0.375462846028631,-0.906381231685673,-0.860842239639242,-0.795840117596265
"Hyndman Peak",-1.22367436701689,-1.15845516666693,0.10624769964806,-2.12962546623143,0,-1.47810635672572,0.495324818312969,-2.30626174377107,-1.33118751277608
"Mount Cramer",0.0343394978596311,0.621271365404639,-1.43612195187772,0.375462846028631,-1.47810635672572,0,0.367671523202431,-0.506241418933636,-0.960266734399119
"Salzburger Spitzl",-0.0297480286958495,-0.347907082233656,2.64279899317494,-0.906381231685673,0.495324818312969,0.367671523202431,0,-0.241449435501165,0.117455835007668
"Snowyside Peak",0.499241953139981,-0.517760869568536,-1.31540541207191,-0.860842239639242,-2.30626174377107,-0.506241418933636,-0.241449435501165,0,-1.28352160806061
"Thompson Peak",0.208445847890483,0.449732051309604,-0.85289421697818,-0.795840117596265,-1.33118751277608,-0.960266734399119,0.117455835007668,-1.28352160806061,0
