"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,0.373052465725857,0.435439223821678,0.367935537307903,0.399710813112284,0.416432257972364,0.405196869566256,0.487135660336273,0.259417768490759
"Castle Peak",0.373052465725857,0,0.474841191632492,0.344715165742437,0.47783213203222,0.256933931229925,0.352923482202905,0.30470660979735,0.467730628238142
"D.O. Lee Peak",0.435439223821678,0.474841191632492,0,0.539585442010768,0.309877036256475,0.55303184220083,0.212367022801093,0.612848532177823,0.479707568989718
"Horstmann Peak",0.367935537307903,0.344715165742437,0.539585442010768,0,0.457413073219302,0.292818655022654,0.418894531064168,0.369213743165731,0.414763391958728
"Hyndman Peak",0.399710813112284,0.47783213203222,0.309877036256475,0.457413073219302,0,0.427159607543396,0.286630964323053,0.550688374639543,0.492734472770511
"Mount Cramer",0.416432257972364,0.256933931229925,0.55303184220083,0.292818655022654,0.427159607543396,0,0.34039578698733,0.442908751381457,0.438525990281263
"Salzburger Spitzl",0.405196869566256,0.352923482202905,0.212367022801093,0.418894531064168,0.286630964323053,0.34039578698733,0,0.274704646483546,0.531394555106078
"Snowyside Peak",0.487135660336273,0.30470660979735,0.612848532177823,0.369213743165731,0.550688374639543,0.442908751381457,0.274704646483546,0,0.553609371798088
"Thompson Peak",0.259417768490759,0.467730628238142,0.479707568989718,0.414763391958728,0.492734472770511,0.438525990281263,0.531394555106078,0.553609371798088,0
