"","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"Braxon Peak",0,1.52512974513065,-0.225379758410791,0.809842390152351,0.757915100063913,1.00112048867392,1.44919999009405,1.68237313295816,-0.657241709627174
"Castle Peak",1.52512974513065,0,1.85998025872002,-0.442815760698357,1.17775226780415,-0.18376388545325,-0.650978840314533,0.247045066307163,1.30035433399227
"D.O. Lee Peak",-0.225379758410791,1.85998025872002,0,0.717704796044001,0.060113607401054,0.365416438722763,0.474734771105043,1.95587909573223,0.678579334017846
"Horstmann Peak",0.809842390152351,-0.442815760698357,0.717704796044001,0,-0.0798465235563713,-1.09647955359813,0.614842045759048,-0.236970242428014,-0.695769072876123
"Hyndman Peak",0.757915100063913,1.17775226780415,0.060113607401054,-0.0798465235563713,0,0.710485529479811,0.502727529107297,1.74632772274575,2.15511688040107
"Mount Cramer",1.00112048867392,-0.18376388545325,0.365416438722763,-1.09647955359813,0.710485529479811,0,0.30515088634275,0.62286742037665,0.976650878468205
"Salzburger Spitzl",1.44919999009405,-0.650978840314533,0.474734771105043,0.614842045759048,0.502727529107297,0.30515088634275,0,-0.663834444922864,2.22918615568229
"Snowyside Peak",1.68237313295816,0.247045066307163,1.95587909573223,-0.236970242428014,1.74632772274575,0.62286742037665,-0.663834444922864,0,1.706640750572
"Thompson Peak",-0.657241709627174,1.30035433399227,0.678579334017846,-0.695769072876123,2.15511688040107,0.976650878468205,2.22918615568229,1.706640750572,0
