"","SampleID","PrimerPairID","BarcodeID","ProjectID","MiSeqRun"
"131","Androsace_septentrionalis_14689","atpB","Lima530","atpB_S1494R_S611",160222
"132","Androsace_septentrionalis_14689","atpB2","Delta146","atpB_S766R_S3",160222
"133","Anemone_drummondii_14309","matK2","Juliett469","matK_3F_3R",160222
"134","Anemone_drummondii_14309","trnT","Bravo85","trn_ab",150807
"135","Anemone_drummondii_14309","ndhF3","Juliett469","ndhF_1318_3",160222
"136","Anemone_drummondii_14309","ndhF2","Delta181","ndhF_803_1318",160222
"137","Anemone_drummondii_14309","ndhF","Juliett469","ndhF_5_803",160222
"138","Anemone_drummondii_14309","matK","Delta181","matK_1F_4R",160222
"139","Anemone_drummondii_14309","rbcL_5","Juliett469","rbcL",150807
"140","Anemone_drummondii_14309","atpB","Delta181","atpB_S1494R_S611",160222
"141","Anemone_drummondii_14309","atpB2","Juliett469","atpB_S766R_S3",160222
"142","Anemone_drummondii_14309","ITS","Alpha1","ITS",150807
"143","Anemone_drummondii_14309","trnLF","Charlie105","trn_cf",150807
"144","Anemone_drummondii_14682","trnT","India430","trn_ab",150807
"145","Anemone_drummondii_14682","trnLF","Lima539","trn_cf",150807
"146","Anemone_drummondii_14682","ndhF","Charlie142","ndhF_5_803",160222
"147","Anemone_drummondii_14682","matK","India430","matK_1F_4R",160222
"148","Anemone_drummondii_14682","ITS","Lima534","ITS",160222
"149","Anemone_drummondii_14682","ndhF2","India430","ndhF_803_1318",160222
"150","Anemone_drummondii_14682","ndhF3","Charlie142","ndhF_1318_3",160222
"151","Anemone_drummondii_14682","atpB","Kilo526","atpB_S1494R_S611",160222
"152","Anemone_drummondii_14682","atpB2","Charlie142","atpB_S766R_S3",160222
"153","Anemone_drummondii_14682","matK2","Charlie142","matK_3F_3R",160222
"154","Anemone_drummondii_14682","rbcL_5","Alpha46","rbcL",150807
"155","Anemone_drummondii_var_drummondii_13562","matK2","Kilo509","matK_3F_3R",160222
"156","Anemone_drummondii_var_drummondii_13562","ndhF2","Alpha29","ndhF_803_1318",160222
"157","Anemone_drummondii_var_drummondii_13562","ITS","Echo223","ITS",141219
"158","Anemone_drummondii_var_drummondii_13562","ndhF3","Kilo509","ndhF_1318_3",160222
"159","Anemone_drummondii_var_drummondii_13562","ndhF","Kilo509","ndhF_5_803",160222
"160","Anemone_drummondii_var_drummondii_13562","trnT","Golf317","trn_ab",150807
"161","Anemone_drummondii_var_drummondii_13562","rbcL_5","Kilo509","rbcL",150807
"162","Anemone_drummondii_var_drummondii_13562","atpB","Alpha29","atpB_S1494R_S611",160222
"163","Anemone_drummondii_var_drummondii_13562","trnLF","Golf311","trnL_cf",141219
"164","Anemone_drummondii_var_drummondii_13562","matK","Alpha29","matK_1F_4R",160222
"165","Anemone_drummondii_var_drummondii_13562","atpB2","Kilo509","atpB_S766R_S3",160222
"166","Antennaria_alpina_14019","matK2","Lima535","matK_3F_3R",160222
"167","Antennaria_alpina_14019","ITS","Foxtrot266","ITS",141219
"168","Antennaria_alpina_14019","ndhF","Lima535","ndhF_5_803",160222
"169","Antennaria_alpina_14019","ndhF2","Bravo55","ndhF_803_1318",160222
"170","Antennaria_alpina_14019","ndhF3","Lima535","ndhF_1318_3",160222
"171","Antennaria_alpina_14019","atpB","Bravo55","atpB_S1494R_S611",160222
